Frequency (Hz),Amplitude (dBm)
462570690.0,-95.15
462579150.2,-90.82
462587610.5,-91.12
462596070.7,-95.35
462604530.9,-91.96
462612991.2,-94.12
462621451.4,-94.27
462629911.7,-89.23
462638371.9,-91.60
462646832.1,-91.26
462655292.4,-91.28
462663752.6,-91.56
462672212.8,-91.65
462680673.1,-91.82
462689133.3,-91.80
462697593.6,-96.37
462706053.8,-95.77
462714514.0,-90.18
462722974.3,-92.86
462731434.5,-97.20
462739894.7,-91.52
462748355.0,-90.76
462756815.2,-89.17
462765275.4,-89.25
462773735.7,-93.90
462782195.9,-95.05
462790656.2,-94.28
462799116.4,-94.61
462807576.6,-94.04
462816036.9,-91.20
462824497.1,-91.65
462832957.3,-88.90
462841417.6,-92.86
462849877.8,-92.15
462858338.1,-96.19
462866798.3,-92.51
462875258.5,-89.10
462883718.8,-94.84
462892179.0,-92.36
462900639.2,-86.89
462909099.5,-93.24
462917559.7,-95.73
462926019.9,-88.47
462934480.2,-92.28
462942940.4,-94.34
462951400.7,-87.22
462959860.9,-89.49
462968321.1,-90.51
462976781.4,-91.87
462985241.6,-96.47
462993701.8,-93.54
463002162.1,-92.21
463010622.3,-95.03
463019082.6,-92.03
463027542.8,-93.78
463036003.0,-94.49
463044463.3,-91.34
463052923.5,-92.41
463061383.7,-95.64
463069844.0,-91.32
463078304.2,-92.28
463086764.5,-90.77
463095224.7,-93.79
463103684.9,-92.93
463112145.2,-87.74
463120605.4,-91.07
463129065.6,-94.97
463137525.9,-92.92
463145986.1,-92.83
463154446.3,-98.58
463162906.6,-95.49
463171366.8,-94.40
463179827.1,-93.62
463188287.3,-90.88
463196747.5,-93.50
463205207.8,-90.96
463213668.0,-90.15
463222128.2,-93.53
463230588.5,-97.48
463239048.7,-90.71
463247509.0,-94.16
463255969.2,-97.21
463264429.4,-96.76
463272889.7,-94.23
463281349.9,-91.74
463289810.1,-92.98
463298270.4,-98.23
463306730.6,-96.28
463315190.8,-99.12
463323651.1,-96.65
463332111.3,-90.58
463340571.6,-89.87
463349031.8,-92.02
463357492.0,-88.88
463365952.3,-90.96
463374412.5,-87.36
463382872.7,-89.22
463391333.0,-86.48
463399793.2,-85.83
463408253.5,-85.50
463416713.7,-82.59
463425173.9,-83.17
463433634.2,-84.01
463442094.4,-84.37
463450554.6,-84.92
463459014.9,-82.86
463467475.1,-82.88
463475935.3,-82.92
463484395.6,-83.20
463492855.8,-85.87
463501316.1,-84.62
463509776.3,-87.05
463518236.5,-87.23
463526696.8,-86.19
463535157.0,-84.85
463543617.2,-84.80
463552077.5,-88.30
463560537.7,-89.05
463568998.0,-91.21
463577458.2,-90.07
463585918.4,-88.98
463594378.7,-91.58
463602838.9,-93.30
463611299.1,-92.99
463619759.4,-92.85
463628219.6,-92.55
463636679.8,-92.94
463645140.1,-91.43
463653600.3,-89.34
463662060.6,-91.18
463670520.8,-92.47
463678981.0,-89.40
463687441.3,-89.14
463695901.5,-88.16
463704361.7,-88.28
463712822.0,-86.61
463721282.2,-85.67
463729742.5,-86.32
463738202.7,-86.27
463746662.9,-84.50
463755123.2,-82.94
463763583.4,-81.82
463772043.6,-83.68
463780503.9,-83.71
463788964.1,-86.12
463797424.3,-82.61
463805884.6,-82.64
463814344.8,-83.57
463822805.1,-84.73
463831265.3,-85.75
463839725.5,-85.26
463848185.8,-84.80
463856646.0,-87.91
463865106.2,-87.85
463873566.5,-87.34
463882026.7,-89.75
463890487.0,-88.64
463898947.2,-91.38
463907407.4,-91.11
463915867.7,-91.23
463924327.9,-89.59
463932788.1,-93.32
463941248.4,-91.69
463949708.6,-91.67
463958168.8,-92.58
463966629.1,-94.44
463975089.3,-91.39
463983549.6,-91.18
463992009.8,-92.37
464000470.0,-92.44
464008930.3,-97.18
464017390.5,-92.51
464025850.7,-90.79
464034311.0,-94.55
464042771.2,-89.94
464051231.5,-95.45
464059691.7,-94.49
464068151.9,-92.29
464076612.2,-93.77
464085072.4,-91.29
464093532.6,-92.03
464101992.9,-93.75
464110453.1,-93.60
464118913.4,-91.52
464127373.6,-89.09
464135833.8,-92.30
464144294.1,-100.24
464152754.3,-88.88
464161214.5,-93.11
464169674.8,-92.63
464178135.0,-92.61
464186595.2,-93.85
464195055.5,-91.83
464203515.7,-96.67
464211976.0,-93.48
464220436.2,-95.07
464228896.4,-96.62
464237356.7,-93.22
464245816.9,-95.19
464254277.1,-90.71
464262737.4,-91.39
464271197.6,-100.06
464279657.9,-93.00
464288118.1,-89.39
464296578.3,-89.32
464305038.6,-91.58
464313498.8,-95.15
464321959.0,-96.52
464330419.3,-94.70
464338879.5,-93.46
464347339.7,-92.50
464355800.0,-88.98
464364260.2,-93.84
464372720.5,-93.49
464381180.7,-91.21
464389640.9,-89.85
464398101.2,-89.19
464406561.4,-91.52
464415021.6,-93.13
464423481.9,-93.71
464431942.1,-92.09
464440402.4,-90.89
464448862.6,-93.46
464457322.8,-94.34
464465783.1,-91.27
464474243.3,-92.02
464482703.5,-92.31
464491163.8,-92.22
464499624.0,-92.75
464508084.2,-89.06
464516544.5,-90.00
464525004.7,-86.15
464533465.0,-90.32
464541925.2,-87.70
464550385.4,-87.21
464558845.7,-86.81
464567305.9,-86.82
464575766.1,-86.15
464584226.4,-84.71
464592686.6,-84.25
464601146.9,-84.56
464609607.1,-82.24
464618067.3,-82.46
464626527.6,-86.19
464634987.8,-83.26
464643448.0,-84.54
464651908.3,-84.65
464660368.5,-85.15
464668828.7,-83.05
464677289.0,-83.74
464685749.2,-86.00
464694209.5,-88.18
464702669.7,-89.35
464711129.9,-89.94
464719590.2,-90.98
464728050.4,-95.28
464736510.6,-93.58
464744970.9,-93.19
464753431.1,-93.15
464761891.4,-90.62
464770351.6,-92.44
464778811.8,-95.18
464787272.1,-93.13
464795732.3,-95.60
464804192.5,-94.66
464812652.8,-88.70
464821113.0,-88.16
464829573.2,-94.83
464838033.5,-92.82
464846493.7,-90.38
464854954.0,-90.33
464863414.2,-91.27
464871874.4,-91.11
464880334.7,-93.23
464888794.9,-96.21
464897255.1,-93.82
464905715.4,-93.39
464914175.6,-95.98
464922635.9,-91.54
464931096.1,-98.23
464939556.3,-91.33
464948016.6,-91.40
464956476.8,-91.71
464964937.0,-91.26
464973397.3,-91.30
464981857.5,-90.81
464990317.7,-92.73
464998778.0,-91.12
465007238.2,-89.15
465015698.5,-93.64
465024158.7,-92.07
465032618.9,-92.58
465041079.2,-94.50
465049539.4,-92.85
465057999.6,-92.39
465066459.9,-96.01
465074920.1,-93.19
465083380.4,-94.38
465091840.6,-90.52
465100300.8,-94.87
465108761.1,-93.21
465117221.3,-94.62
465125681.5,-91.27
465134141.8,-92.41
465142602.0,-91.44
465151062.3,-89.57
465159522.5,-88.86
465167982.7,-91.13
465176443.0,-95.78
465184903.2,-89.02
465193363.4,-89.19
465201823.7,-95.91
465210283.9,-94.79
465218744.1,-93.78
465227204.4,-93.23
465235664.6,-94.22
465244124.9,-94.14
465252585.1,-96.15
465261045.3,-92.80
465269505.6,-90.65
465277965.8,-92.55
465286426.0,-93.00
465294886.3,-95.72
465303346.5,-94.27
465311806.8,-96.58
465320267.0,-91.38
465328727.2,-89.41
465337187.5,-92.16
465345647.7,-92.76
465354107.9,-93.19
465362568.2,-94.75
465371028.4,-94.36
465379488.6,-96.06
465387948.9,-90.79
465396409.1,-94.28
465404869.4,-92.76
465413329.6,-92.63
465421789.8,-91.33
465430250.1,-95.22
465438710.3,-92.09
465447170.5,-91.59
465455630.8,-91.40
465464091.0,-98.72
465472551.3,-93.75
465481011.5,-93.08
465489471.7,-92.93
465497932.0,-98.31
465506392.2,-96.28
465514852.4,-91.61
465523312.7,-94.76
465531772.9,-91.77
465540233.1,-93.62
465548693.4,-93.99
465557153.6,-94.52
465565613.9,-96.82
465574074.1,-92.60
465582534.3,-90.47
465590994.6,-93.82
465599454.8,-93.79
465607915.0,-89.63
465616375.3,-89.72
465624835.5,-89.39
465633295.8,-91.04
465641756.0,-91.67
465650216.2,-96.02
465658676.5,-95.79
465667136.7,-95.37
465675596.9,-91.25
465684057.2,-92.02
465692517.4,-90.97
465700977.6,-92.18
465709437.9,-95.01
465717898.1,-90.03
465726358.4,-89.15
465734818.6,-92.41
465743278.8,-94.78
465751739.1,-94.85
465760199.3,-93.03
465768659.5,-93.34
465777119.8,-90.64
465785580.0,-88.37
465794040.3,-94.44
465802500.5,-93.59
465810960.7,-92.32
465819421.0,-93.38
465827881.2,-93.42
465836341.4,-96.11
465844801.7,-93.47
465853261.9,-92.48
465861722.1,-93.45
465870182.4,-93.68
465878642.6,-94.28
465887102.9,-93.92
465895563.1,-93.60
465904023.3,-94.77
465912483.6,-96.15
465920943.8,-98.29
465929404.0,-90.52
465937864.3,-88.32
465946324.5,-93.65
465954784.8,-95.15
465963245.0,-92.16
465971705.2,-93.58
465980165.5,-92.07
465988625.7,-91.50
465997085.9,-94.47
466005546.2,-96.02
466014006.4,-91.79
466022466.6,-96.70
466030926.9,-98.26
466039387.1,-97.91
466047847.4,-92.24
466056307.6,-91.82
466064767.8,-92.35
466073228.1,-96.55
466081688.3,-94.55
466090148.5,-95.94
466098608.8,-90.58
466107069.0,-91.93
466115529.3,-89.58
466123989.5,-86.66
466132449.7,-89.73
466140910.0,-95.82
466149370.2,-105.38
466157830.4,-90.72
466166290.7,-91.87
466174750.9,-94.77
466183211.2,-94.81
466191671.4,-99.44
466200131.6,-91.52
466208591.9,-91.28
466217052.1,-91.28
466225512.3,-93.93
466233972.6,-91.30
466242432.8,-89.99
466250893.0,-88.98
466259353.3,-90.67
466267813.5,-92.42
466276273.8,-92.60
466284734.0,-95.77
466293194.2,-99.71
466301654.5,-94.58
466310114.7,-94.21
466318574.9,-88.65
466327035.2,-92.53
466335495.4,-98.22
466343955.7,-94.84
466352415.9,-90.56
466360876.1,-90.00
466369336.4,-95.10
466377796.6,-91.29
466386256.8,-92.05
466394717.1,-89.99
466403177.3,-91.89
466411637.5,-92.74
466420097.8,-92.45
466428558.0,-92.18
466437018.3,-93.17
466445478.5,-93.60
466453938.7,-88.81
466462399.0,-91.18
466470859.2,-94.78
466479319.4,-91.11
466487779.7,-90.74
466496239.9,-96.51
466504700.2,-93.25
466513160.4,-93.89
466521620.6,-92.74
466530080.9,-92.63
466538541.1,-93.19
466547001.3,-91.06
466555461.6,-89.58
466563921.8,-91.33
466572382.0,-91.54
466580842.3,-88.46
466589302.5,-87.10
466597762.8,-86.61
466606223.0,-94.19
466614683.2,-91.26
466623143.5,-90.90
466631603.7,-90.33
466640063.9,-89.94
466648524.2,-96.52
466656984.4,-96.25
466665444.7,-91.72
466673904.9,-91.20
466682365.1,-93.37
466690825.4,-92.33
466699285.6,-89.71
466707745.8,-96.09
466716206.1,-94.44
466724666.3,-92.54
466733126.5,-89.63
466741586.8,-92.21
466750047.0,-90.33
466758507.3,-91.55
466766967.5,-95.02
466775427.7,-92.90
466783888.0,-91.96
466792348.2,-93.67
466800808.4,-89.26
466809268.7,-87.60
466817728.9,-89.74
466826189.2,-90.27
466834649.4,-88.69
466843109.6,-91.17
466851569.9,-90.17
466860030.1,-91.42
466868490.3,-94.06
466876950.6,-87.13
466885410.8,-93.89
466893871.0,-97.28
466902331.3,-95.08
466910791.5,-89.70
466919251.8,-93.12
466927712.0,-95.10
466936172.2,-91.46
466944632.5,-93.70
466953092.7,-92.78
466961552.9,-88.80
466970013.2,-87.08
466978473.4,-88.18
466986933.7,-90.38
466995393.9,-86.14
467003854.1,-80.47
467012314.4,-86.09
467020774.6,-88.16
467029234.8,-85.29
467037695.1,-85.41
467046155.3,-88.12
467054615.5,-90.82
467063075.8,-87.68
467071536.0,-89.06
467079996.3,-85.30
467088456.5,-85.13
467096916.7,-86.40
467105377.0,-82.76
467113837.2,-83.71
467122297.4,-86.12
467130757.7,-81.28
467139217.9,-80.86
467147678.2,-81.65
467156138.4,-85.51
467164598.6,-84.27
467173058.9,-85.67
467181519.1,-85.98
467189979.3,-87.18
467198439.6,-87.61
467206899.8,-84.88
467215360.1,-86.23
467223820.3,-92.00
467232280.5,-81.91
467240740.8,-86.17
467249201.0,-82.06
467257661.2,-82.87
467266121.5,-86.16
467274581.7,-81.92
467283041.9,-87.84
467291502.2,-81.90
467299962.4,-82.12
467308422.7,-84.76
467316882.9,-79.89
467325343.1,-82.14
467333803.4,-82.70
467342263.6,-85.94
467350723.8,-80.29
467359184.1,-79.69
467367644.3,-77.14
467376104.6,-75.60
467384564.8,-74.80
467393025.0,-73.64
467401485.3,-70.07
467409945.5,-68.81
467418405.7,-65.87
467426866.0,-64.40
467435326.2,-62.29
467443786.4,-59.87
467452246.7,-58.21
467460706.9,-56.24
467469167.2,-54.41
467477627.4,-52.07
467486087.6,-50.45
467494547.9,-48.87
467503008.1,-47.84
467511468.3,-46.86
467519928.6,-46.07
467528388.8,-45.43
467536849.1,-44.90
467545309.3,-44.65
467553769.5,-44.43
467562229.8,-44.41
467570690.0,-44.43
467579150.2,-44.57
467587610.5,-44.85
467596070.7,-45.29
467604530.9,-45.92
467612991.2,-46.78
467621451.4,-47.98
467629911.7,-49.40
467638371.9,-50.95
467646832.1,-52.39
467655292.4,-53.83
467663752.6,-55.53
467672212.8,-57.34
467680673.1,-59.00
467689133.3,-60.85
467697593.6,-62.62
467706053.8,-65.74
467714514.0,-67.60
467722974.3,-69.78
467731434.5,-71.54
467739894.7,-72.78
467748355.0,-75.73
467756815.2,-79.29
467765275.4,-79.48
467773735.7,-81.04
467782195.9,-80.33
467790656.2,-83.80
467799116.4,-83.20
467807576.6,-84.48
467816036.9,-82.16
467824497.1,-85.53
467832957.3,-81.77
467841417.6,-90.25
467849877.8,-84.88
467858338.1,-83.68
467866798.3,-86.52
467875258.5,-84.67
467883718.8,-89.60
467892179.0,-86.00
467900639.2,-84.55
467909099.5,-89.33
467917559.7,-86.34
467926019.9,-86.32
467934480.2,-85.35
467942940.4,-85.39
467951400.7,-84.63
467959860.9,-87.76
