Frequency (Hz),Amplitude (dBm)
462570690.0,-66.01
462579150.2,-63.24
462587610.5,-72.07
462596070.7,-64.58
462604530.9,-64.27
462612991.2,-84.34
462621451.4,-92.67
462629911.7,-94.78
462638371.9,-90.72
462646832.1,-91.32
462655292.4,-88.45
462663752.6,-90.40
462672212.8,-93.24
462680673.1,-91.10
462689133.3,-88.17
462697593.6,-90.75
462706053.8,-89.70
462714514.0,-95.67
462722974.3,-91.33
462731434.5,-90.90
462739894.7,-93.23
462748355.0,-67.40
462756815.2,-71.51
462765275.4,-65.16
462773735.7,-74.94
462782195.9,-67.54
462790656.2,-66.18
462799116.4,-62.28
462807576.6,-75.57
462816036.9,-93.61
462824497.1,-92.09
462832957.3,-91.81
462841417.6,-92.89
462849877.8,-91.15
462858338.1,-87.37
462866798.3,-87.97
462875258.5,-90.60
462883718.8,-89.43
462892179.0,-91.77
462900639.2,-96.03
462909099.5,-96.83
462917559.7,-90.34
462926019.9,-88.13
462934480.2,-91.08
462942940.4,-81.14
462951400.7,-70.12
462959860.9,-62.08
462968321.1,-64.12
462976781.4,-69.59
462985241.6,-66.25
462993701.8,-64.17
463002162.1,-75.24
463010622.3,-87.16
463019082.6,-92.43
463027542.8,-91.73
463036003.0,-86.88
463044463.3,-84.00
463052923.5,-95.17
463061383.7,-81.36
463069844.0,-92.44
463078304.2,-80.56
463086764.5,-90.45
463095224.7,-82.63
463103684.9,-84.09
463112145.2,-94.77
463120605.4,-88.95
463129065.6,-84.51
463137525.9,-94.67
463145986.1,-58.55
463154446.3,-60.88
463162906.6,-67.80
463171366.8,-67.16
463179827.1,-64.22
463188287.3,-66.04
463196747.5,-68.36
463205207.8,-82.56
463213668.0,-79.10
463222128.2,-82.50
463230588.5,-81.91
463239048.7,-78.11
463247509.0,-75.84
463255969.2,-81.32
463264429.4,-82.13
463272889.7,-82.76
463281349.9,-81.35
463289810.1,-82.34
463298270.4,-85.85
463306730.6,-80.41
463315190.8,-82.27
463323651.1,-83.56
463332111.3,-77.29
463340571.6,-70.02
463349031.8,-68.54
463357492.0,-73.25
463365952.3,-67.21
463374412.5,-64.47
463382872.7,-66.96
463391333.0,-67.42
463399793.2,-86.19
463408253.5,-86.27
463416713.7,-85.07
463425173.9,-90.12
463433634.2,-88.63
463442094.4,-91.68
463450554.6,-89.28
463459014.9,-90.08
463467475.1,-93.62
463475935.3,-88.92
463484395.6,-88.99
463492855.8,-87.92
463501316.1,-90.19
463509776.3,-91.79
463518236.5,-91.25
463526696.8,-96.51
463535157.0,-67.44
463543617.2,-67.73
463552077.5,-72.00
463560537.7,-68.65
463568998.0,-68.24
463577458.2,-69.14
463585918.4,-61.34
463594378.7,-90.95
463602838.9,-91.76
463611299.1,-88.92
463619759.4,-88.11
463628219.6,-89.28
463636679.8,-88.13
463645140.1,-88.18
463653600.3,-90.35
463662060.6,-90.71
463670520.8,-84.53
463678981.0,-88.38
463687441.3,-87.90
463695901.5,-86.58
463704361.7,-88.67
463712822.0,-90.31
463721282.2,-85.42
463729742.5,-67.95
463738202.7,-66.33
463746662.9,-65.00
463755123.2,-66.71
463763583.4,-65.21
463772043.6,-66.54
463780503.9,-66.87
463788964.1,-88.57
463797424.3,-80.15
463805884.6,-80.64
463814344.8,-82.47
463822805.1,-87.03
463831265.3,-89.58
463839725.5,-85.44
463848185.8,-84.06
463856646.0,-85.36
463865106.2,-84.28
463873566.5,-86.02
463882026.7,-78.70
463890487.0,-79.39
463898947.2,-79.93
463907407.4,-83.01
463915867.7,-66.84
463924327.9,-67.06
463932788.1,-69.31
463941248.4,-63.64
463949708.6,-70.51
463958168.8,-66.11
463966629.1,-62.49
463975089.3,-75.91
463983549.6,-91.43
463992009.8,-88.90
464000470.0,-92.43
464008930.3,-93.19
464017390.5,-90.32
464025850.7,-93.84
464034311.0,-90.41
464042771.2,-94.95
464051231.5,-96.49
464059691.7,-91.29
464068151.9,-94.80
464076612.2,-86.76
464085072.4,-88.49
464093532.6,-94.10
464101992.9,-94.15
464110453.1,-59.74
464118913.4,-67.32
464127373.6,-65.99
464135833.8,-60.02
464144294.1,-75.65
464152754.3,-65.95
464161214.5,-68.10
464169674.8,-96.93
464178135.0,-92.88
464186595.2,-87.87
464195055.5,-88.07
464203515.7,-90.65
464211976.0,-87.58
464220436.2,-88.10
464228896.4,-89.01
464237356.7,-88.92
464245816.9,-92.79
464254277.1,-89.09
464262737.4,-92.21
464271197.6,-96.46
464279657.9,-95.38
464288118.1,-95.78
464296578.3,-93.29
464305038.6,-65.39
464313498.8,-64.73
464321959.0,-63.93
464330419.3,-70.79
464338879.5,-67.48
464347339.7,-69.46
464355800.0,-59.08
464364260.2,-73.65
464372720.5,-92.61
464381180.7,-86.61
464389640.9,-89.11
464398101.2,-89.81
464406561.4,-89.47
464415021.6,-96.15
464423481.9,-97.02
464431942.1,-97.26
464440402.4,-94.38
464448862.6,-93.45
464457322.8,-90.03
464465783.1,-91.45
464474243.3,-98.02
464482703.5,-90.54
464491163.8,-93.80
464499624.0,-67.21
464508084.2,-68.14
464516544.5,-72.62
464525004.7,-61.82
464533465.0,-68.22
464541925.2,-60.04
464550385.4,-60.08
464558845.7,-82.28
464567305.9,-94.91
464575766.1,-96.24
464584226.4,-95.15
464592686.6,-96.02
464601146.9,-91.47
464609607.1,-91.56
464618067.3,-97.12
464626527.6,-92.79
464634987.8,-91.48
464643448.0,-94.42
464651908.3,-90.08
464660368.5,-90.89
464668828.7,-91.55
464677289.0,-92.27
464685749.2,-95.56
464694209.5,-69.35
464702669.7,-57.58
464711129.9,-57.62
464719590.2,-58.84
464728050.4,-73.96
464736510.6,-63.54
464744970.9,-63.21
464753431.1,-82.55
464761891.4,-89.25
464770351.6,-87.66
464778811.8,-94.57
464787272.1,-96.62
464795732.3,-92.13
464804192.5,-88.43
464812652.8,-88.46
464821113.0,-93.86
464829573.2,-88.34
464838033.5,-93.90
464846493.7,-94.41
464854954.0,-93.00
464863414.2,-95.96
464871874.4,-92.80
464880334.7,-81.83
464888794.9,-57.36
464897255.1,-63.83
464905715.4,-66.78
464914175.6,-62.69
464922635.9,-64.65
464931096.1,-69.81
464939556.3,-59.25
464948016.6,-77.61
464956476.8,-77.66
464964937.0,-103.02
464973397.3,-84.89
464981857.5,-94.07
464990317.7,-84.80
464998778.0,-93.47
465007238.2,-79.85
465015698.5,-81.52
465024158.7,-90.37
465032618.9,-85.06
465041079.2,-81.76
465049539.4,-90.60
465057999.6,-79.44
465066459.9,-87.93
465074920.1,-77.08
465083380.4,-71.75
465091840.6,-66.54
465100300.8,-61.23
465108761.1,-61.87
465117221.3,-63.23
465125681.5,-65.12
465134141.8,-65.02
465142602.0,-65.71
465151062.3,-90.31
465159522.5,-92.73
465167982.7,-93.57
465176443.0,-87.12
465184903.2,-85.77
465193363.4,-93.33
465201823.7,-96.39
465210283.9,-98.71
465218744.1,-92.24
465227204.4,-90.19
465235664.6,-89.57
465244124.9,-90.59
465252585.1,-90.22
465261045.3,-95.54
465269505.6,-94.50
465277965.8,-65.23
465286426.0,-67.78
465294886.3,-67.59
465303346.5,-63.19
465311806.8,-65.78
465320267.0,-57.70
465328727.2,-57.51
465337187.5,-64.66
465345647.7,-91.98
465354107.9,-94.65
465362568.2,-95.49
465371028.4,-96.85
465379488.6,-92.92
465387948.9,-97.04
465396409.1,-93.58
465404869.4,-92.51
465413329.6,-96.18
465421789.8,-93.38
465430250.1,-93.79
465438710.3,-91.36
465447170.5,-93.33
465455630.8,-94.48
465464091.0,-99.33
465472551.3,-77.47
465481011.5,-61.12
465489471.7,-58.58
465497932.0,-59.65
465506392.2,-64.65
465514852.4,-67.75
465523312.7,-58.17
465531772.9,-65.76
465540233.1,-89.99
465548693.4,-93.56
465557153.6,-82.91
465565613.9,-70.99
465574074.1,-92.43
465582534.3,-96.33
465590994.6,-92.23
465599454.8,-92.03
465607915.0,-92.47
465616375.3,-74.04
465624835.5,-75.87
465633295.8,-92.36
465641756.0,-91.76
465650216.2,-75.00
465658676.5,-90.93
465667136.7,-97.58
465675596.9,-62.72
465684057.2,-62.80
465692517.4,-63.43
465700977.6,-59.87
465709437.9,-57.31
465717898.1,-62.93
465726358.4,-59.15
465734818.6,-94.11
465743278.8,-74.97
465751739.1,-76.79
465760199.3,-75.22
465768659.5,-95.18
465777119.8,-72.95
465785580.0,-90.27
465794040.3,-88.47
465802500.5,-84.39
465810960.7,-72.62
465819421.0,-92.63
465827881.2,-79.52
465836341.4,-87.96
465844801.7,-79.92
465853261.9,-90.98
465861722.1,-71.09
465870182.4,-67.09
465878642.6,-56.95
465887102.9,-73.77
465895563.1,-56.02
465904023.3,-55.68
465912483.6,-55.69
465920943.8,-53.20
465929404.0,-63.21
465937864.3,-96.26
465946324.5,-95.84
465954784.8,-94.40
465963245.0,-91.69
465971705.2,-93.04
465980165.5,-91.11
465988625.7,-91.72
465997085.9,-90.38
466005546.2,-95.70
466014006.4,-94.88
466022466.6,-96.10
466030926.9,-90.42
466039387.1,-91.80
466047847.4,-92.40
466056307.6,-93.31
466064767.8,-69.10
466073228.1,-54.46
466081688.3,-54.63
466090148.5,-55.27
466098608.8,-54.39
466107069.0,-55.97
466115529.3,-54.73
466123989.5,-60.18
466132449.7,-90.41
466140910.0,-93.93
466149370.2,-92.36
466157830.4,-81.91
466166290.7,-78.57
466174750.9,-86.77
466183211.2,-67.89
466191671.4,-66.96
466200131.6,-89.50
466208591.9,-80.93
466217052.1,-90.02
466225512.3,-92.50
466233972.6,-89.77
466242432.8,-92.65
466250893.0,-78.74
466259353.3,-93.69
466267813.5,-52.64
466276273.8,-52.01
466284734.0,-52.64
466293194.2,-55.05
466301654.5,-52.36
466310114.7,-57.72
466318574.9,-58.15
466327035.2,-81.42
466335495.4,-92.26
466343955.7,-100.59
466352415.9,-94.80
466360876.1,-90.45
466369336.4,-97.17
466377796.6,-96.82
466386256.8,-94.89
466394717.1,-95.39
466403177.3,-90.61
466411637.5,-95.70
466420097.8,-92.07
466428558.0,-92.81
466437018.3,-93.32
466445478.5,-96.95
466453938.7,-88.15
466462399.0,-50.47
466470859.2,-59.91
466479319.4,-56.37
466487779.7,-51.63
466496239.9,-59.10
466504700.2,-54.45
466513160.4,-56.12
466521620.6,-65.78
466530080.9,-90.15
466538541.1,-88.47
466547001.3,-65.13
466555461.6,-91.80
466563921.8,-90.23
466572382.0,-87.48
466580842.3,-86.82
466589302.5,-94.64
466597762.8,-88.58
466606223.0,-63.68
466614683.2,-93.58
466623143.5,-91.77
466631603.7,-62.87
466640063.9,-87.97
466648524.2,-92.82
466656984.4,-53.80
466665444.7,-51.08
466673904.9,-57.70
466682365.1,-52.45
466690825.4,-53.73
466699285.6,-58.95
466707745.8,-50.82
466716206.1,-50.96
466724666.3,-75.60
466733126.5,-90.38
466741586.8,-90.68
466750047.0,-94.29
466758507.3,-72.37
466766967.5,-72.43
466775427.7,-90.09
466783888.0,-92.43
466792348.2,-90.46
466800808.4,-89.03
466809268.7,-66.52
466817728.9,-87.33
466826189.2,-92.99
466834649.4,-97.29
466843109.6,-85.52
466851569.9,-63.72
466860030.1,-55.83
466868490.3,-47.70
466876950.6,-53.71
466885410.8,-52.62
466893871.0,-54.18
466902331.3,-53.04
466910791.5,-57.79
466919251.8,-89.80
466927712.0,-89.70
466936172.2,-92.15
466944632.5,-90.33
466953092.7,-90.01
466961552.9,-92.02
466970013.2,-88.72
466978473.4,-93.10
466986933.7,-90.62
466995393.9,-85.22
467003854.1,-89.49
467012314.4,-88.43
467020774.6,-87.39
467029234.8,-84.46
467037695.1,-84.71
467046155.3,-87.94
467054615.5,-60.29
467063075.8,-57.62
467071536.0,-53.88
467079996.3,-50.14
467088456.5,-49.99
467096916.7,-54.86
467105377.0,-55.58
467113837.2,-53.48
467122297.4,-61.33
467130757.7,-75.77
467139217.9,-84.97
467147678.2,-84.39
467156138.4,-84.97
467164598.6,-83.47
467173058.9,-88.32
467181519.1,-55.94
