Frequency (Hz),Amplitude (dBm)
462570690.0,-91.77
462579150.2,-97.97
462587610.5,-96.58
462596070.7,-81.91
462604530.9,-76.50
462612991.2,-77.23
462621451.4,-87.50
462629911.7,-83.08
462638371.9,-72.74
462646832.1,-80.85
462655292.4,-91.13
462663752.6,-90.63
462672212.8,-94.00
462680673.1,-93.70
462689133.3,-94.71
462697593.6,-93.37
462706053.8,-91.35
462714514.0,-89.61
462722974.3,-89.73
462731434.5,-89.16
462739894.7,-91.56
462748355.0,-93.22
462756815.2,-90.27
462765275.4,-91.69
462773735.7,-91.82
462782195.9,-91.73
462790656.2,-92.11
462799116.4,-77.19
462807576.6,-77.97
462816036.9,-74.16
462824497.1,-72.80
462832957.3,-78.64
462841417.6,-76.03
462849877.8,-77.10
462858338.1,-84.59
462866798.3,-96.90
462875258.5,-92.59
462883718.8,-91.62
462892179.0,-93.01
462900639.2,-93.21
462909099.5,-94.36
462917559.7,-94.28
462926019.9,-92.81
462934480.2,-91.70
462942940.4,-91.05
462951400.7,-97.07
462959860.9,-91.05
462968321.1,-93.11
462976781.4,-89.46
462985241.6,-69.35
462993701.8,-70.05
463002162.1,-73.75
463010622.3,-80.50
463019082.6,-72.48
463027542.8,-71.90
463036003.0,-72.35
463044463.3,-88.05
463052923.5,-92.79
463061383.7,-92.98
463069844.0,-95.95
463078304.2,-92.82
463086764.5,-90.25
463095224.7,-90.20
463103684.9,-92.89
463112145.2,-93.41
463120605.4,-97.98
463129065.6,-89.45
463137525.9,-90.76
463145986.1,-95.22
463154446.3,-93.75
463162906.6,-92.82
463171366.8,-91.01
463179827.1,-96.92
463188287.3,-92.31
463196747.5,-91.34
463205207.8,-84.47
463213668.0,-76.04
463222128.2,-72.54
463230588.5,-72.18
463239048.7,-67.80
463247509.0,-68.95
463255969.2,-69.53
463264429.4,-76.21
463272889.7,-91.74
463281349.9,-86.39
463289810.1,-95.03
463298270.4,-92.27
463306730.6,-96.07
463315190.8,-88.89
463323651.1,-85.91
463332111.3,-91.39
463340571.6,-88.91
463349031.8,-85.46
463357492.0,-88.09
463365952.3,-87.24
463374412.5,-89.83
463382872.7,-88.54
463391333.0,-82.96
463399793.2,-84.00
463408253.5,-74.50
463416713.7,-72.66
463425173.9,-83.20
463433634.2,-73.61
463442094.4,-74.28
463450554.6,-75.00
463459014.9,-79.90
463467475.1,-84.82
463475935.3,-82.29
463484395.6,-84.59
463492855.8,-82.60
463501316.1,-82.55
463509776.3,-84.23
463518236.5,-80.89
463526696.8,-84.16
463535157.0,-86.45
463543617.2,-87.18
463552077.5,-89.27
463560537.7,-90.11
463568998.0,-90.46
463577458.2,-90.80
463585918.4,-91.92
463594378.7,-89.47
463602838.9,-91.70
463611299.1,-91.12
463619759.4,-90.61
463628219.6,-92.46
463636679.8,-96.98
463645140.1,-76.76
463653600.3,-76.22
463662060.6,-86.08
463670520.8,-85.22
463678981.0,-76.34
463687441.3,-72.60
463695901.5,-74.25
463704361.7,-90.39
463712822.0,-87.11
463721282.2,-86.71
463729742.5,-91.05
463738202.7,-86.09
463746662.9,-85.09
463755123.2,-85.68
463763583.4,-87.37
463772043.6,-84.42
463780503.9,-84.67
463788964.1,-85.14
463797424.3,-84.32
463805884.6,-85.01
463814344.8,-83.17
463822805.1,-84.06
463831265.3,-86.18
463839725.5,-84.81
463848185.8,-85.69
463856646.0,-73.39
463865106.2,-73.22
463873566.5,-74.01
463882026.7,-75.05
463890487.0,-72.81
463898947.2,-72.95
463907407.4,-81.19
463915867.7,-81.11
463924327.9,-90.33
463932788.1,-89.77
463941248.4,-89.37
463949708.6,-92.40
463958168.8,-89.75
463966629.1,-88.77
463975089.3,-86.46
463983549.6,-89.04
463992009.8,-84.00
464000470.0,-83.93
464008930.3,-86.61
464017390.5,-87.21
464025850.7,-85.40
464034311.0,-85.58
464042771.2,-84.16
464051231.5,-84.02
