Frequency (Hz),Amplitude (dBm)
462570690.0,-69.42
462579150.2,-65.54
462587610.5,-85.47
462596070.7,-83.97
462604530.9,-86.54
462612991.2,-86.96
462621451.4,-81.67
462629911.7,-86.04
462638371.9,-88.07
462646832.1,-88.47
462655292.4,-64.80
462663752.6,-71.26
462672212.8,-81.53
462680673.1,-88.23
462689133.3,-88.89
462697593.6,-87.39
462706053.8,-86.77
462714514.0,-87.58
462722974.3,-87.72
462731434.5,-83.34
462739894.7,-66.48
462748355.0,-87.23
462756815.2,-81.77
462765275.4,-83.59
462773735.7,-85.39
462782195.9,-87.52
462790656.2,-95.28
462799116.4,-87.67
462807576.6,-89.72
462816036.9,-70.16
462824497.1,-65.51
462832957.3,-82.88
462841417.6,-89.82
462849877.8,-87.66
462858338.1,-92.08
462866798.3,-88.20
462875258.5,-88.41
462883718.8,-87.36
462892179.0,-65.60
462900639.2,-88.70
462909099.5,-89.89
462917559.7,-84.56
462926019.9,-85.97
462934480.2,-86.37
462942940.4,-83.86
462951400.7,-83.24
462959860.9,-90.24
462968321.1,-91.24
462976781.4,-64.86
462985241.6,-80.49
462993701.8,-87.37
463002162.1,-85.75
463010622.3,-89.99
463019082.6,-88.32
463027542.8,-88.33
463036003.0,-88.71
463044463.3,-64.83
463052923.5,-73.43
463061383.7,-79.98
463069844.0,-89.38
463078304.2,-83.93
463086764.5,-85.01
463095224.7,-86.19
463103684.9,-86.98
463112145.2,-83.57
463120605.4,-84.50
463129065.6,-81.24
463137525.9,-64.81
463145986.1,-76.87
463154446.3,-89.88
463162906.6,-85.03
463171366.8,-87.97
463179827.1,-91.07
463188287.3,-87.87
463196747.5,-88.14
463205207.8,-83.35
463213668.0,-65.03
463222128.2,-90.53
463230588.5,-87.49
463239048.7,-87.03
463247509.0,-83.30
463255969.2,-81.36
463264429.4,-85.05
463272889.7,-83.93
463281349.9,-81.28
463289810.1,-69.39
463298270.4,-65.66
463306730.6,-83.65
463315190.8,-85.58
463323651.1,-84.44
463332111.3,-83.88
463340571.6,-86.57
463349031.8,-83.87
463357492.0,-87.68
463365952.3,-64.72
463374412.5,-67.16
463382872.7,-81.68
463391333.0,-83.85
463399793.2,-86.07
463408253.5,-85.89
463416713.7,-81.75
463425173.9,-83.08
463433634.2,-84.81
463442094.4,-83.96
463450554.6,-68.32
463459014.9,-69.13
463467475.1,-71.51
463475935.3,-91.82
463484395.6,-85.50
463492855.8,-85.04
463501316.1,-86.57
463509776.3,-84.59
463518236.5,-86.53
463526696.8,-87.98
463535157.0,-65.02
463543617.2,-85.28
463552077.5,-88.04
463560537.7,-86.21
463568998.0,-84.36
463577458.2,-85.67
463585918.4,-85.78
463594378.7,-86.73
463602838.9,-85.25
463611299.1,-79.13
463619759.4,-65.40
463628219.6,-81.59
463636679.8,-88.89
463645140.1,-90.31
463653600.3,-86.68
463662060.6,-90.20
463670520.8,-86.89
463678981.0,-84.47
463687441.3,-83.24
463695901.5,-63.95
463704361.7,-83.82
463712822.0,-90.37
463721282.2,-88.01
463729742.5,-88.26
463738202.7,-83.45
463746662.9,-85.85
463755123.2,-89.13
463763583.4,-83.93
463772043.6,-88.04
463780503.9,-69.28
463788964.1,-64.10
463797424.3,-77.46
463805884.6,-89.49
463814344.8,-87.11
463822805.1,-86.23
463831265.3,-89.61
463839725.5,-87.34
463848185.8,-84.76
463856646.0,-79.39
463865106.2,-62.91
463873566.5,-62.81
463882026.7,-84.11
463890487.0,-87.58
463898947.2,-82.08
463907407.4,-82.03
463915867.7,-84.07
463924327.9,-83.89
463932788.1,-85.26
463941248.4,-88.34
463949708.6,-64.62
463958168.8,-71.93
463966629.1,-85.46
463975089.3,-84.48
463983549.6,-84.56
463992009.8,-86.03
464000470.0,-85.60
464008930.3,-85.52
464017390.5,-81.66
464025850.7,-75.58
464034311.0,-64.32
464042771.2,-83.27
464051231.5,-82.51
464059691.7,-80.60
464068151.9,-79.19
464076612.2,-80.80
464085072.4,-78.11
464093532.6,-81.06
464101992.9,-83.96
464110453.1,-78.92
464118913.4,-64.83
464127373.6,-83.72
464135833.8,-86.41
464144294.1,-83.06
464152754.3,-82.03
464161214.5,-85.34
464169674.8,-83.62
464178135.0,-84.00
464186595.2,-81.03
464195055.5,-84.16
464203515.7,-75.70
464211976.0,-63.49
464220436.2,-87.68
464228896.4,-89.07
464237356.7,-84.64
464245816.9,-84.60
464254277.1,-81.45
464262737.4,-86.48
464271197.6,-88.80
464279657.9,-83.09
464288118.1,-83.30
464296578.3,-64.29
464305038.6,-85.32
464313498.8,-87.92
464321959.0,-86.99
464330419.3,-83.52
464338879.5,-84.69
464347339.7,-83.61
464355800.0,-86.14
464364260.2,-64.57
464372720.5,-78.93
464381180.7,-83.79
464389640.9,-82.94
464398101.2,-83.32
464406561.4,-85.74
464415021.6,-82.59
464423481.9,-87.95
464431942.1,-85.03
464440402.4,-88.82
464448862.6,-63.63
464457322.8,-85.83
464465783.1,-86.01
464474243.3,-86.19
464482703.5,-85.43
464491163.8,-87.14
464499624.0,-85.58
464508084.2,-82.28
464516544.5,-64.40
464525004.7,-65.52
464533465.0,-89.55
464541925.2,-83.17
464550385.4,-82.80
464558845.7,-84.05
464567305.9,-81.54
464575766.1,-83.88
464584226.4,-83.77
464592686.6,-81.18
464601146.9,-80.40
464609607.1,-63.81
464618067.3,-69.60
464626527.6,-85.59
464634987.8,-84.07
464643448.0,-87.15
464651908.3,-86.77
464660368.5,-84.50
464668828.7,-81.73
464677289.0,-68.83
464685749.2,-64.31
464694209.5,-83.87
464702669.7,-80.69
464711129.9,-79.98
464719590.2,-81.17
464728050.4,-81.16
464736510.6,-82.40
464744970.9,-84.03
464753431.1,-89.05
464761891.4,-63.43
464770351.6,-83.53
464778811.8,-86.23
464787272.1,-82.63
464795732.3,-84.23
464804192.5,-85.15
464812652.8,-80.92
464821113.0,-78.44
464829573.2,-64.06
464838033.5,-71.00
464846493.7,-80.49
464854954.0,-82.55
464863414.2,-83.83
464871874.4,-80.85
464880334.7,-81.11
464888794.9,-83.64
464897255.1,-78.97
464905715.4,-90.64
464914175.6,-62.98
464922635.9,-85.38
464931096.1,-80.37
464939556.3,-81.79
464948016.6,-83.30
464956476.8,-86.61
464964937.0,-89.13
464973397.3,-84.27
464981857.5,-80.36
464990317.7,-64.83
464998778.0,-86.99
465007238.2,-82.36
465015698.5,-80.33
465024158.7,-81.86
465032618.9,-83.86
465041079.2,-78.85
465049539.4,-79.45
465057999.6,-82.77
465066459.9,-75.03
465074920.1,-63.53
465083380.4,-81.48
465091840.6,-85.51
465100300.8,-83.15
465108761.1,-83.28
465117221.3,-82.48
465125681.5,-82.96
465134141.8,-83.11
465142602.0,-63.52
465151062.3,-84.43
465159522.5,-85.53
465167982.7,-81.18
465176443.0,-81.76
465184903.2,-81.71
465193363.4,-82.20
465201823.7,-81.90
465210283.9,-82.02
465218744.1,-74.37
465227204.4,-63.60
465235664.6,-79.91
465244124.9,-81.95
465252585.1,-83.74
465261045.3,-83.28
465269505.6,-83.45
465277965.8,-83.43
465286426.0,-83.84
465294886.3,-74.53
465303346.5,-61.35
465311806.8,-78.04
465320267.0,-80.56
465328727.2,-81.08
465337187.5,-78.71
465345647.7,-78.73
465354107.9,-80.47
465362568.2,-79.71
465371028.4,-82.44
465379488.6,-63.50
465387948.9,-64.05
465396409.1,-82.18
465404869.4,-81.55
465413329.6,-81.45
465421789.8,-85.21
465430250.1,-84.83
465438710.3,-83.77
465447170.5,-79.70
465455630.8,-64.06
465464091.0,-79.32
465472551.3,-82.25
465481011.5,-79.94
465489471.7,-79.62
465497932.0,-79.00
465506392.2,-77.75
465514852.4,-81.10
465523312.7,-81.56
465531772.9,-64.05
465540233.1,-72.83
465548693.4,-80.45
465557153.6,-83.50
465565613.9,-81.13
465574074.1,-82.62
465582534.3,-82.04
