Frequency (Hz),Amplitude (dBm)
462570690.0,-52.20
462579150.2,-65.69
462587610.5,-65.63
462596070.7,-64.50
462604530.9,-66.59
462612991.2,-64.50
462621451.4,-78.63
462629911.7,-55.00
462638371.9,-56.41
462646832.1,-56.41
462655292.4,-58.17
462663752.6,-61.73
462672212.8,-72.62
462680673.1,-71.80
462689133.3,-84.29
462697593.6,-67.78
462706053.8,-63.54
462714514.0,-65.06
462722974.3,-64.96
462731434.5,-65.08
462739894.7,-65.96
462748355.0,-65.87
462756815.2,-70.64
462765275.4,-86.95
462773735.7,-81.46
462782195.9,-72.05
462790656.2,-69.20
462799116.4,-66.20
462807576.6,-69.09
462816036.9,-69.58
462824497.1,-71.18
462832957.3,-87.41
462841417.6,-82.04
462849877.8,-78.48
462858338.1,-78.52
462866798.3,-80.32
462875258.5,-72.31
462883718.8,-71.62
462892179.0,-69.18
462900639.2,-85.82
462909099.5,-72.92
462917559.7,-73.52
462926019.9,-72.18
462934480.2,-82.98
462942940.4,-93.10
462951400.7,-91.31
462959860.9,-72.53
462968321.1,-75.82
462976781.4,-74.85
462985241.6,-72.74
462993701.8,-72.58
463002162.1,-74.86
463010622.3,-75.15
463019082.6,-81.78
463027542.8,-76.24
463036003.0,-84.76
463044463.3,-84.42
463052923.5,-74.21
463061383.7,-75.40
463069844.0,-75.93
463078304.2,-74.93
463086764.5,-74.71
463095224.7,-77.43
463103684.9,-90.09
463112145.2,-78.74
463120605.4,-84.80
463129065.6,-84.72
463137525.9,-71.41
463145986.1,-72.28
463154446.3,-74.67
463162906.6,-77.44
463171366.8,-86.82
463179827.1,-76.03
463188287.3,-77.63
463196747.5,-87.68
463205207.8,-84.44
463213668.0,-80.34
463222128.2,-73.90
463230588.5,-82.46
463239048.7,-86.58
463247509.0,-75.51
463255969.2,-78.87
463264429.4,-80.12
463272889.7,-78.76
463281349.9,-92.36
463289810.1,-85.56
463298270.4,-84.41
463306730.6,-82.05
463315190.8,-79.68
463323651.1,-76.33
463332111.3,-75.67
463340571.6,-77.27
463349031.8,-78.51
463357492.0,-81.20
463365952.3,-87.07
463374412.5,-91.44
463382872.7,-92.39
463391333.0,-79.91
463399793.2,-75.37
463408253.5,-76.82
463416713.7,-79.86
463425173.9,-79.02
463433634.2,-79.94
463442094.4,-82.89
463450554.6,-87.31
463459014.9,-89.61
463467475.1,-91.84
463475935.3,-91.49
463484395.6,-82.53
463492855.8,-75.09
463501316.1,-75.83
463509776.3,-83.23
463518236.5,-77.42
463526696.8,-77.95
463535157.0,-80.05
463543617.2,-89.46
463552077.5,-84.33
463560537.7,-81.47
463568998.0,-79.58
463577458.2,-77.19
463585918.4,-83.00
463594378.7,-78.88
463602838.9,-79.08
463611299.1,-73.12
463619759.4,-78.70
463628219.6,-80.36
463636679.8,-88.15
463645140.1,-88.76
463653600.3,-83.24
463662060.6,-78.88
463670520.8,-81.64
463678981.0,-81.33
463687441.3,-78.30
463695901.5,-78.31
463704361.7,-81.97
463712822.0,-82.74
463721282.2,-83.64
463729742.5,-92.61
463738202.7,-86.62
463746662.9,-78.29
463755123.2,-78.51
463763583.4,-84.84
463772043.6,-80.70
463780503.9,-79.07
463788964.1,-83.12
463797424.3,-92.38
463805884.6,-90.73
463814344.8,-85.67
463822805.1,-81.28
463831265.3,-84.95
463839725.5,-79.31
463848185.8,-79.78
463856646.0,-84.48
463865106.2,-73.69
463873566.5,-73.74
463882026.7,-83.65
463890487.0,-86.37
463898947.2,-83.48
463907407.4,-81.65
463915867.7,-81.23
463924327.9,-83.24
463932788.1,-78.87
463941248.4,-80.74
463949708.6,-85.12
463958168.8,-73.87
463966629.1,-74.04
463975089.3,-80.07
463983549.6,-90.08
463992009.8,-81.31
464000470.0,-81.00
464008930.3,-88.92
464017390.5,-81.05
464025850.7,-80.54
464034311.0,-81.92
464042771.2,-83.00
464051231.5,-79.60
464059691.7,-83.21
464068151.9,-80.43
464076612.2,-83.03
464085072.4,-83.71
464093532.6,-76.65
464101992.9,-82.94
464110453.1,-80.32
