Trace,Signal Power (dBm),Noise Floor (dBm),SNR (dB),Edge Frequency Avg (Hz),Condition
Trace_001.csv,-77.96971014,-90.40468927,12.43497912,467562229.8,Clear
Trace_002.csv,-84.89537653,-96.08457627,11.18919974,467566459.9,Clear
Trace_003.csv,-85.85131907,-96.32553672,10.47421765,467566459.9,Clear
Trace_004.csv,-85.59632653,-96.2700565,10.67372997,467562229.8,Clear
Trace_005.csv,-85.35526863,-96.3640113,11.00874267,467566459.9,Clear
Trace_006.csv,-85.56978984,-96.29570621,10.72591637,467566459.9,Clear
Trace_007.csv,-85.53735552,-96.24734463,10.70998912,467566459.9,Clear
Trace_008.csv,-85.155,-96.17056497,11.01556497,467566459.9,Clear
Trace_009.csv,-84.78969424,-96.05666667,11.26697242,467562229.8,Clear
Trace_010.csv,-84.99902174,-96.36045198,11.36143024,467557999.7,Clear
Trace_011.csv,-84.76663082,-96.0479661,11.28133528,467562229.8,Clear
Trace_012.csv,-85.37049822,-95.94418079,10.57368257,467566459.9,Clear
Trace_013.csv,-85.45360444,-96.00062147,10.54701703,467566459.9,Clear
Trace_014.csv,-85.24222609,-96.03344633,10.79122024,467557999.7,Clear
Trace_015.csv,-85.28811951,-96.15293785,10.86481835,467562229.8,Clear
Trace_016.csv,-85.16869775,-96.16248588,10.99378813,467566459.9,Clear
Trace_017.csv,-85.39907563,-96.1440113,10.74493567,467566459.9,Clear
Trace_018.csv,-85.4027768,-96.17146893,10.76869213,467557999.7,Clear
Trace_019.csv,-85.13068143,-95.99446328,10.86378185,467562229.8,Clear
Trace_020.csv,-85.18887868,-96.19355932,11.00468065,467562229.8,Clear
Trace_021.csv,-85.08309645,-96.10937853,11.02628208,467566459.9,Clear
Trace_022.csv,-85.57057491,-96.45915254,10.88857763,467566459.9,Clear
Trace_023.csv,-85.6866893,-96.11887006,10.43218075,467562229.8,Clear
Trace_024.csv,-86.15626935,-96.66525424,10.50898489,467566459.9,Clear
Trace_025.csv,-85.32047788,-96.03033898,10.70986111,467566459.9,Clear
Trace_026.csv,-85.4801083,-96.20480226,10.72469396,467557999.7,Clear
Trace_027.csv,-85.67167558,-96.23683616,10.56516058,467557999.7,Clear
Trace_028.csv,-85.08558929,-96.12169492,11.03610563,467566459.9,Clear
Trace_029.csv,-84.93585198,-96.04152542,11.10567344,467562229.8,Clear
Trace_030.csv,-85.56737649,-96.44830508,10.88092859,467557999.7,Clear
