Frequency (Hz),Amplitude (dBm)
462570690.0,-50.33
462579150.2,-49.46
462587610.5,-54.63
462596070.7,-64.61
462604530.9,-58.78
462612991.2,-57.57
462621451.4,-51.11
462629911.7,-53.85
462638371.9,-53.58
462646832.1,-53.64
462655292.4,-56.18
462663752.6,-55.78
462672212.8,-60.89
462680673.1,-72.15
462689133.3,-65.99
462697593.6,-64.69
462706053.8,-59.52
462714514.0,-81.03
462722974.3,-62.11
462731434.5,-61.82
462739894.7,-62.12
462748355.0,-64.61
462756815.2,-69.58
462765275.4,-77.59
462773735.7,-78.82
462782195.9,-69.12
462790656.2,-69.16
462799116.4,-65.71
462807576.6,-65.80
462816036.9,-66.84
462824497.1,-66.88
462832957.3,-65.81
462841417.6,-68.68
462849877.8,-74.71
462858338.1,-81.21
462866798.3,-76.64
462875258.5,-69.47
462883718.8,-74.29
462892179.0,-68.95
462900639.2,-68.46
462909099.5,-70.04
462917559.7,-70.25
462926019.9,-70.57
462934480.2,-71.03
462942940.4,-82.06
462951400.7,-80.93
462959860.9,-74.77
462968321.1,-67.47
462976781.4,-71.06
462985241.6,-70.06
462993701.8,-71.62
463002162.1,-72.59
463010622.3,-73.44
463019082.6,-74.97
463027542.8,-77.13
463036003.0,-83.51
463044463.3,-74.73
463052923.5,-76.27
463061383.7,-82.57
463069844.0,-69.73
463078304.2,-71.30
463086764.5,-74.38
463095224.7,-74.81
463103684.9,-71.91
463112145.2,-72.45
463120605.4,-81.85
463129065.6,-75.02
463137525.9,-72.42
463145986.1,-68.57
463154446.3,-71.84
463162906.6,-73.67
463171366.8,-74.72
463179827.1,-71.57
463188287.3,-75.59
463196747.5,-81.64
463205207.8,-88.61
463213668.0,-78.07
463222128.2,-70.14
463230588.5,-77.25
463239048.7,-75.17
463247509.0,-71.52
463255969.2,-91.39
463264429.4,-75.59
463272889.7,-73.24
463281349.9,-73.35
463289810.1,-83.22
463298270.4,-83.37
463306730.6,-79.68
463315190.8,-71.31
463323651.1,-70.89
463332111.3,-73.31
463340571.6,-75.50
463349031.8,-73.58
463357492.0,-74.90
463365952.3,-77.26
463374412.5,-83.51
463382872.7,-75.02
463391333.0,-69.88
463399793.2,-80.25
463408253.5,-79.54
463416713.7,-79.67
463425173.9,-75.84
463433634.2,-76.61
463442094.4,-76.64
