Frequency (Hz),Amplitude (dBm)
462570690.0,-94.13
462579150.2,-90.77
462587610.5,-93.18
462596070.7,-93.05
462604530.9,-91.79
462612991.2,-89.57
462621451.4,-96.31
462629911.7,-89.98
462638371.9,-90.10
462646832.1,-90.97
462655292.4,-97.59
462663752.6,-96.56
462672212.8,-97.58
462680673.1,-96.79
462689133.3,-90.97
462697593.6,-92.01
462706053.8,-90.20
462714514.0,-94.10
462722974.3,-90.46
462731434.5,-89.01
462739894.7,-92.28
462748355.0,-89.76
462756815.2,-91.91
462765275.4,-94.15
462773735.7,-88.30
462782195.9,-94.62
462790656.2,-97.02
462799116.4,-91.55
462807576.6,-94.84
462816036.9,-93.77
462824497.1,-94.52
462832957.3,-93.71
462841417.6,-93.37
462849877.8,-94.38
462858338.1,-89.23
462866798.3,-90.35
462875258.5,-93.14
462883718.8,-93.85
462892179.0,-93.92
462900639.2,-94.20
462909099.5,-89.70
462917559.7,-89.64
462926019.9,-93.76
462934480.2,-91.43
462942940.4,-89.78
462951400.7,-94.66
462959860.9,-93.35
462968321.1,-94.41
462976781.4,-91.84
462985241.6,-89.62
462993701.8,-94.63
463002162.1,-89.34
463010622.3,-90.24
463019082.6,-92.91
463027542.8,-93.73
463036003.0,-90.23
463044463.3,-93.13
463052923.5,-96.42
463061383.7,-94.53
463069844.0,-89.67
463078304.2,-91.76
463086764.5,-89.61
463095224.7,-92.54
463103684.9,-93.76
463112145.2,-95.09
463120605.4,-93.07
463129065.6,-88.80
463137525.9,-91.97
463145986.1,-90.60
463154446.3,-90.82
463162906.6,-86.10
463171366.8,-87.03
463179827.1,-87.55
463188287.3,-83.97
463196747.5,-84.15
463205207.8,-85.31
463213668.0,-86.94
463222128.2,-84.21
463230588.5,-86.26
463239048.7,-84.41
463247509.0,-86.92
463255969.2,-83.16
463264429.4,-83.81
463272889.7,-85.32
463281349.9,-86.09
463289810.1,-87.40
463298270.4,-87.83
463306730.6,-87.09
463315190.8,-87.36
463323651.1,-88.27
463332111.3,-90.76
463340571.6,-88.45
463349031.8,-92.22
463357492.0,-94.08
463365952.3,-92.08
463374412.5,-88.90
463382872.7,-89.56
463391333.0,-89.73
463399793.2,-91.61
463408253.5,-96.76
463416713.7,-96.69
463425173.9,-95.85
463433634.2,-88.27
463442094.4,-95.48
463450554.6,-95.97
463459014.9,-92.85
463467475.1,-94.29
463475935.3,-95.05
463484395.6,-91.36
463492855.8,-90.26
463501316.1,-94.55
463509776.3,-91.35
463518236.5,-95.57
463526696.8,-93.08
463535157.0,-95.94
463543617.2,-92.69
463552077.5,-94.16
463560537.7,-93.09
463568998.0,-92.13
463577458.2,-93.51
463585918.4,-93.23
463594378.7,-90.02
463602838.9,-90.06
463611299.1,-90.30
463619759.4,-90.40
463628219.6,-94.54
463636679.8,-92.58
463645140.1,-93.34
463653600.3,-91.94
463662060.6,-94.53
463670520.8,-93.11
463678981.0,-90.67
463687441.3,-92.59
463695901.5,-92.05
463704361.7,-91.93
463712822.0,-91.46
463721282.2,-92.26
463729742.5,-89.87
463738202.7,-92.04
463746662.9,-94.29
463755123.2,-89.67
463763583.4,-94.32
463772043.6,-95.71
463780503.9,-94.06
463788964.1,-98.50
463797424.3,-92.39
463805884.6,-91.32
463814344.8,-93.18
463822805.1,-89.76
463831265.3,-91.74
463839725.5,-95.56
463848185.8,-93.56
463856646.0,-92.73
463865106.2,-91.18
463873566.5,-93.90
463882026.7,-91.29
463890487.0,-89.29
463898947.2,-92.06
463907407.4,-91.64
463915867.7,-91.60
463924327.9,-92.98
463932788.1,-92.04
463941248.4,-92.39
463949708.6,-93.23
463958168.8,-94.01
463966629.1,-93.44
463975089.3,-91.72
463983549.6,-92.78
463992009.8,-94.16
464000470.0,-92.88
464008930.3,-99.41
464017390.5,-93.19
464025850.7,-97.02
464034311.0,-93.43
464042771.2,-96.78
464051231.5,-88.69
464059691.7,-93.12
464068151.9,-89.16
464076612.2,-90.88
464085072.4,-92.25
464093532.6,-93.33
464101992.9,-93.34
464110453.1,-94.25
464118913.4,-94.74
464127373.6,-92.65
464135833.8,-92.22
464144294.1,-95.12
464152754.3,-95.00
464161214.5,-91.69
464169674.8,-95.75
464178135.0,-91.31
464186595.2,-91.68
464195055.5,-91.03
464203515.7,-93.26
464211976.0,-91.34
464220436.2,-92.99
464228896.4,-89.21
464237356.7,-88.28
464245816.9,-93.29
464254277.1,-94.35
464262737.4,-92.39
464271197.6,-91.17
464279657.9,-90.56
464288118.1,-88.27
464296578.3,-88.26
464305038.6,-93.57
464313498.8,-90.09
464321959.0,-92.66
464330419.3,-90.13
464338879.5,-90.26
464347339.7,-90.17
464355800.0,-91.19
464364260.2,-91.76
464372720.5,-90.95
464381180.7,-89.00
464389640.9,-92.75
464398101.2,-99.17
464406561.4,-93.36
464415021.6,-88.69
464423481.9,-92.67
464431942.1,-95.04
464440402.4,-91.73
464448862.6,-93.61
464457322.8,-86.98
464465783.1,-89.23
464474243.3,-88.19
464482703.5,-87.76
464491163.8,-90.72
464499624.0,-90.96
464508084.2,-90.10
464516544.5,-89.17
464525004.7,-89.00
464533465.0,-88.54
464541925.2,-85.69
464550385.4,-84.15
464558845.7,-86.81
464567305.9,-85.53
464575766.1,-84.78
464584226.4,-82.27
464592686.6,-84.90
464601146.9,-80.31
464609607.1,-80.64
464618067.3,-83.81
464626527.6,-82.30
464634987.8,-81.99
464643448.0,-84.26
464651908.3,-83.58
464660368.5,-84.23
464668828.7,-84.02
464677289.0,-84.41
464685749.2,-82.92
464694209.5,-82.38
464702669.7,-87.34
464711129.9,-84.67
464719590.2,-82.89
464728050.4,-84.71
464736510.6,-88.25
464744970.9,-82.54
464753431.1,-85.95
464761891.4,-85.01
464770351.6,-83.54
464778811.8,-85.86
464787272.1,-85.91
464795732.3,-85.25
464804192.5,-86.32
464812652.8,-84.35
464821113.0,-85.37
464829573.2,-83.52
464838033.5,-83.76
464846493.7,-84.02
464854954.0,-83.93
464863414.2,-84.29
464871874.4,-83.06
464880334.7,-87.90
464888794.9,-88.54
464897255.1,-85.14
464905715.4,-88.25
464914175.6,-90.48
464922635.9,-86.31
464931096.1,-85.06
464939556.3,-90.72
464948016.6,-91.66
464956476.8,-90.52
464964937.0,-86.67
464973397.3,-87.66
464981857.5,-85.87
464990317.7,-85.95
464998778.0,-88.67
465007238.2,-92.50
465015698.5,-91.68
465024158.7,-93.59
465032618.9,-86.08
465041079.2,-89.36
465049539.4,-90.46
465057999.6,-87.59
465066459.9,-95.14
465074920.1,-91.14
465083380.4,-93.69
465091840.6,-93.21
465100300.8,-95.30
465108761.1,-92.12
465117221.3,-91.36
465125681.5,-97.01
465134141.8,-94.45
465142602.0,-90.34
465151062.3,-93.52
465159522.5,-90.53
465167982.7,-90.76
465176443.0,-92.13
465184903.2,-93.44
465193363.4,-94.19
465201823.7,-90.81
465210283.9,-95.16
465218744.1,-96.89
465227204.4,-95.21
465235664.6,-94.81
465244124.9,-95.85
465252585.1,-89.78
465261045.3,-94.32
465269505.6,-94.89
465277965.8,-92.61
465286426.0,-93.63
465294886.3,-90.33
465303346.5,-90.75
465311806.8,-88.80
465320267.0,-88.75
465328727.2,-91.72
465337187.5,-92.48
465345647.7,-92.42
465354107.9,-94.19
465362568.2,-96.22
465371028.4,-94.26
465379488.6,-95.86
465387948.9,-94.00
465396409.1,-98.17
465404869.4,-94.38
465413329.6,-94.04
465421789.8,-97.13
465430250.1,-95.67
465438710.3,-93.58
465447170.5,-92.15
465455630.8,-90.37
465464091.0,-96.39
465472551.3,-95.53
465481011.5,-93.14
465489471.7,-91.91
465497932.0,-89.23
465506392.2,-93.14
465514852.4,-91.04
465523312.7,-91.35
465531772.9,-92.64
465540233.1,-94.51
465548693.4,-94.55
465557153.6,-92.75
465565613.9,-96.11
465574074.1,-94.24
465582534.3,-89.92
465590994.6,-91.21
465599454.8,-90.09
465607915.0,-96.32
