Frequency (Hz),Amplitude (dBm)
462570690.0,-91.39
462579150.2,-90.32
462587610.5,-77.97
462596070.7,-79.33
462604530.9,-78.68
462612991.2,-77.57
462621451.4,-86.71
462629911.7,-81.91
462638371.9,-75.91
462646832.1,-78.38
462655292.4,-92.78
462663752.6,-89.96
462672212.8,-93.18
462680673.1,-89.39
462689133.3,-92.47
462697593.6,-92.94
462706053.8,-92.14
462714514.0,-91.09
462722974.3,-89.23
462731434.5,-91.78
462739894.7,-91.08
462748355.0,-94.76
462756815.2,-92.17
462765275.4,-90.79
462773735.7,-92.22
462782195.9,-86.07
462790656.2,-98.11
462799116.4,-89.98
462807576.6,-91.63
462816036.9,-92.03
462824497.1,-93.61
462832957.3,-93.76
462841417.6,-89.53
462849877.8,-81.40
462858338.1,-75.77
462866798.3,-80.60
462875258.5,-80.35
462883718.8,-81.71
462892179.0,-80.62
462900639.2,-86.30
462909099.5,-90.88
462917559.7,-89.82
462926019.9,-92.88
462934480.2,-96.17
462942940.4,-91.42
462951400.7,-90.74
462959860.9,-97.52
462968321.1,-95.95
462976781.4,-96.78
462985241.6,-93.64
462993701.8,-93.69
463002162.1,-96.65
463010622.3,-93.78
463019082.6,-95.42
463027542.8,-92.62
463036003.0,-79.31
463044463.3,-84.22
463052923.5,-84.23
463061383.7,-83.11
463069844.0,-81.53
463078304.2,-76.10
463086764.5,-84.06
463095224.7,-93.66
463103684.9,-91.08
463112145.2,-90.13
463120605.4,-94.85
463129065.6,-91.52
463137525.9,-88.83
463145986.1,-89.59
463154446.3,-89.83
463162906.6,-93.73
463171366.8,-94.39
463179827.1,-92.39
463188287.3,-91.69
463196747.5,-90.60
463205207.8,-89.69
463213668.0,-92.17
463222128.2,-92.37
463230588.5,-83.62
463239048.7,-84.21
463247509.0,-75.95
463255969.2,-84.16
463264429.4,-81.84
463272889.7,-81.91
463281349.9,-84.97
463289810.1,-92.04
463298270.4,-95.53
463306730.6,-92.97
463315190.8,-94.57
463323651.1,-89.24
463332111.3,-90.74
463340571.6,-92.02
463349031.8,-89.44
463357492.0,-87.02
463365952.3,-88.74
463374412.5,-89.30
463382872.7,-91.07
463391333.0,-88.11
463399793.2,-85.72
463408253.5,-84.28
463416713.7,-84.84
463425173.9,-82.86
463433634.2,-87.33
463442094.4,-83.62
463450554.6,-85.19
463459014.9,-81.37
463467475.1,-78.57
463475935.3,-77.74
463484395.6,-78.16
463492855.8,-78.46
