Frequency (Hz),Amplitude (dBm)
462570690.0,-64.77
462579150.2,-65.24
462587610.5,-64.88
462596070.7,-63.48
462604530.9,-94.37
462612991.2,-95.10
462621451.4,-88.88
462629911.7,-98.81
462638371.9,-92.97
462646832.1,-93.23
462655292.4,-92.15
462663752.6,-92.92
462672212.8,-93.70
462680673.1,-93.33
462689133.3,-91.64
462697593.6,-87.68
462706053.8,-90.50
462714514.0,-90.68
462722974.3,-91.80
462731434.5,-93.30
462739894.7,-59.12
462748355.0,-67.47
462756815.2,-68.02
462765275.4,-60.88
462773735.7,-61.19
462782195.9,-60.00
462790656.2,-62.73
462799116.4,-91.64
462807576.6,-93.98
462816036.9,-93.11
462824497.1,-95.33
462832957.3,-95.84
462841417.6,-94.57
462849877.8,-90.08
462858338.1,-92.87
462866798.3,-91.70
462875258.5,-91.34
462883718.8,-94.38
462892179.0,-90.40
462900639.2,-90.42
462909099.5,-93.15
462917559.7,-93.75
462926019.9,-87.58
462934480.2,-58.23
462942940.4,-61.34
462951400.7,-59.23
462959860.9,-58.65
462968321.1,-64.39
462976781.4,-69.56
462985241.6,-66.05
462993701.8,-91.42
463002162.1,-94.72
463010622.3,-88.78
463019082.6,-95.56
463027542.8,-93.80
463036003.0,-93.81
463044463.3,-94.06
463052923.5,-91.75
463061383.7,-89.52
463069844.0,-88.96
463078304.2,-94.12
463086764.5,-89.70
463095224.7,-92.49
463103684.9,-97.64
463112145.2,-91.92
463120605.4,-89.03
463129065.6,-57.20
463137525.9,-63.74
463145986.1,-63.81
463154446.3,-66.70
463162906.6,-64.98
463171366.8,-65.45
463179827.1,-66.80
463188287.3,-75.17
463196747.5,-84.65
463205207.8,-85.99
463213668.0,-87.10
463222128.2,-87.06
463230588.5,-84.23
463239048.7,-82.98
463247509.0,-81.02
463255969.2,-78.23
463264429.4,-81.75
463272889.7,-84.64
463281349.9,-79.14
463289810.1,-82.91
463298270.4,-82.22
463306730.6,-83.86
463315190.8,-83.85
463323651.1,-66.19
463332111.3,-66.88
463340571.6,-69.29
463349031.8,-63.86
463357492.0,-64.45
463365952.3,-63.46
463374412.5,-60.78
463382872.7,-59.21
463391333.0,-91.08
463399793.2,-90.74
463408253.5,-92.93
463416713.7,-87.50
463425173.9,-88.96
463433634.2,-88.70
463442094.4,-88.50
463450554.6,-93.51
463459014.9,-92.52
463467475.1,-90.87
463475935.3,-90.32
463484395.6,-91.20
463492855.8,-92.24
463501316.1,-92.17
463509776.3,-92.63
463518236.5,-89.39
463526696.8,-65.01
463535157.0,-62.78
463543617.2,-59.74
463552077.5,-59.80
463560537.7,-58.28
463568998.0,-67.02
463577458.2,-69.96
463585918.4,-90.42
463594378.7,-92.69
463602838.9,-94.46
463611299.1,-91.44
463619759.4,-92.46
463628219.6,-92.34
463636679.8,-88.50
463645140.1,-87.29
463653600.3,-90.43
463662060.6,-86.83
463670520.8,-86.57
463678981.0,-86.71
463687441.3,-83.57
463695901.5,-85.29
463704361.7,-85.10
