Frequency (Hz),Amplitude (dBm)
462570690.0,-72.40
462579150.2,-84.29
462587610.5,-93.76
462596070.7,-87.11
462604530.9,-87.73
462612991.2,-89.58
462621451.4,-86.98
462629911.7,-92.65
462638371.9,-89.97
462646832.1,-98.34
462655292.4,-92.38
462663752.6,-95.39
462672212.8,-93.05
462680673.1,-84.23
462689133.3,-83.00
462697593.6,-87.37
462706053.8,-87.79
462714514.0,-88.86
462722974.3,-71.95
462731434.5,-65.39
462739894.7,-68.47
462748355.0,-77.67
462756815.2,-75.07
462765275.4,-74.30
462773735.7,-71.20
462782195.9,-71.24
462790656.2,-90.72
462799116.4,-95.04
462807576.6,-95.65
462816036.9,-90.24
462824497.1,-90.02
462832957.3,-92.29
462841417.6,-96.39
462849877.8,-93.28
462858338.1,-91.17
462866798.3,-92.37
462875258.5,-92.54
462883718.8,-93.04
462892179.0,-89.23
462900639.2,-88.90
462909099.5,-89.13
462917559.7,-94.11
462926019.9,-83.94
462934480.2,-70.71
462942940.4,-73.57
462951400.7,-80.00
462959860.9,-77.82
462968321.1,-72.57
462976781.4,-72.30
462985241.6,-64.43
462993701.8,-92.69
463002162.1,-94.02
463010622.3,-92.71
463019082.6,-95.13
463027542.8,-96.86
463036003.0,-93.72
463044463.3,-94.42
463052923.5,-91.56
463061383.7,-90.61
463069844.0,-96.64
463078304.2,-93.69
463086764.5,-90.70
463095224.7,-92.17
463103684.9,-89.85
463112145.2,-93.35
463120605.4,-93.71
463129065.6,-93.51
463137525.9,-71.21
463145986.1,-69.30
463154446.3,-73.78
463162906.6,-65.99
463171366.8,-69.08
463179827.1,-70.73
463188287.3,-68.22
463196747.5,-86.07
463205207.8,-85.52
463213668.0,-88.25
463222128.2,-90.10
463230588.5,-86.29
463239048.7,-90.55
463247509.0,-90.73
463255969.2,-89.56
463264429.4,-88.85
463272889.7,-87.83
463281349.9,-90.73
463289810.1,-87.37
463298270.4,-93.24
463306730.6,-89.54
463315190.8,-91.29
463323651.1,-91.13
463332111.3,-86.73
463340571.6,-70.53
463349031.8,-68.55
463357492.0,-65.94
463365952.3,-71.72
463374412.5,-69.19
463382872.7,-74.44
463391333.0,-73.84
463399793.2,-89.89
463408253.5,-93.89
463416713.7,-90.63
463425173.9,-90.18
463433634.2,-90.24
463442094.4,-95.47
463450554.6,-88.06
463459014.9,-87.19
463467475.1,-86.69
463475935.3,-87.22
463484395.6,-95.12
463492855.8,-90.22
463501316.1,-87.42
463509776.3,-86.36
463518236.5,-96.03
463526696.8,-88.03
463535157.0,-87.48
463543617.2,-72.27
463552077.5,-72.69
463560537.7,-71.42
463568998.0,-70.62
463577458.2,-71.70
463585918.4,-71.42
463594378.7,-66.45
463602838.9,-74.03
463611299.1,-87.66
463619759.4,-91.10
463628219.6,-94.85
463636679.8,-95.06
463645140.1,-91.25
463653600.3,-90.04
463662060.6,-88.69
463670520.8,-87.95
463678981.0,-91.26
463687441.3,-88.19
463695901.5,-87.86
463704361.7,-86.73
463712822.0,-86.36
463721282.2,-86.27
463729742.5,-85.21
463738202.7,-83.40
463746662.9,-84.54
463755123.2,-63.56
463763583.4,-63.15
463772043.6,-67.02
463780503.9,-64.45
463788964.1,-69.74
463797424.3,-72.22
463805884.6,-70.44
463814344.8,-75.70
463822805.1,-82.95
463831265.3,-84.67
463839725.5,-84.36
463848185.8,-87.16
463856646.0,-86.15
463865106.2,-87.69
463873566.5,-87.64
463882026.7,-88.30
463890487.0,-90.44
463898947.2,-92.37
463907407.4,-88.92
463915867.7,-90.19
463924327.9,-91.99
463932788.1,-90.83
463941248.4,-89.25
463949708.6,-87.01
463958168.8,-95.26
463966629.1,-75.38
463975089.3,-74.08
463983549.6,-71.75
463992009.8,-72.14
464000470.0,-76.58
464008930.3,-74.25
464017390.5,-72.91
464025850.7,-83.00
464034311.0,-91.94
464042771.2,-92.25
464051231.5,-88.38
464059691.7,-92.13
464068151.9,-89.41
464076612.2,-89.83
464085072.4,-91.17
464093532.6,-91.83
464101992.9,-89.13
464110453.1,-88.97
464118913.4,-93.83
464127373.6,-92.24
464135833.8,-91.83
464144294.1,-90.24
464152754.3,-88.71
464161214.5,-94.90
464169674.8,-71.50
464178135.0,-69.27
464186595.2,-67.90
464195055.5,-66.71
464203515.7,-77.18
464211976.0,-77.02
464220436.2,-73.01
464228896.4,-89.39
464237356.7,-87.97
464245816.9,-87.56
464254277.1,-88.99
464262737.4,-90.42
464271197.6,-92.81
464279657.9,-86.91
464288118.1,-87.42
464296578.3,-87.55
464305038.6,-87.59
464313498.8,-88.60
464321959.0,-87.84
464330419.3,-90.10
464338879.5,-89.74
464347339.7,-93.81
464355800.0,-91.42
464364260.2,-89.74
464372720.5,-78.43
464381180.7,-70.29
464389640.9,-69.52
464398101.2,-70.44
464406561.4,-70.58
464415021.6,-72.16
464423481.9,-71.38
464431942.1,-78.79
464440402.4,-91.05
464448862.6,-92.73
464457322.8,-92.40
464465783.1,-92.12
464474243.3,-96.32
464482703.5,-95.47
464491163.8,-95.05
464499624.0,-94.92
464508084.2,-90.81
464516544.5,-91.46
464525004.7,-87.15
464533465.0,-90.17
464541925.2,-90.40
464550385.4,-89.42
464558845.7,-91.75
464567305.9,-95.39
464575766.1,-93.50
464584226.4,-90.00
464592686.6,-94.09
464601146.9,-71.80
464609607.1,-64.63
464618067.3,-65.58
464626527.6,-72.15
464634987.8,-67.54
464643448.0,-71.93
464651908.3,-72.32
464660368.5,-94.28
464668828.7,-90.48
464677289.0,-81.40
464685749.2,-84.25
464694209.5,-80.98
464702669.7,-86.31
464711129.9,-85.49
464719590.2,-84.38
464728050.4,-85.18
464736510.6,-83.99
464744970.9,-83.49
464753431.1,-83.94
464761891.4,-81.38
464770351.6,-79.46
464778811.8,-77.85
464787272.1,-81.36
464795732.3,-82.72
464804192.5,-75.21
464812652.8,-73.78
464821113.0,-65.72
464829573.2,-66.30
464838033.5,-67.64
464846493.7,-76.21
464854954.0,-68.72
464863414.2,-76.14
464871874.4,-89.55
464880334.7,-89.16
464888794.9,-92.16
464897255.1,-91.80
464905715.4,-86.28
464914175.6,-88.03
464922635.9,-89.91
464931096.1,-90.32
464939556.3,-91.37
464948016.6,-88.54
464956476.8,-91.73
464964937.0,-92.59
464973397.3,-91.75
464981857.5,-92.62
464990317.7,-93.39
464998778.0,-93.48
465007238.2,-91.85
465015698.5,-68.63
465024158.7,-70.36
465032618.9,-69.26
465041079.2,-69.48
465049539.4,-69.84
465057999.6,-68.66
465066459.9,-72.31
465074920.1,-94.37
465083380.4,-92.82
465091840.6,-92.77
465100300.8,-93.86
465108761.1,-95.56
465117221.3,-92.06
465125681.5,-92.03
465134141.8,-91.43
465142602.0,-95.44
465151062.3,-95.19
465159522.5,-94.49
465167982.7,-92.33
465176443.0,-93.02
465184903.2,-96.43
465193363.4,-93.31
465201823.7,-92.95
465210283.9,-92.22
465218744.1,-80.84
465227204.4,-74.48
465235664.6,-69.35
465244124.9,-63.38
465252585.1,-64.83
465261045.3,-66.29
465269505.6,-65.00
465277965.8,-64.36
465286426.0,-89.18
465294886.3,-95.14
465303346.5,-92.82
465311806.8,-93.39
465320267.0,-95.10
465328727.2,-95.49
465337187.5,-90.98
465345647.7,-95.58
465354107.9,-95.49
465362568.2,-90.04
465371028.4,-93.00
465379488.6,-93.71
465387948.9,-91.92
465396409.1,-95.20
465404869.4,-97.56
465413329.6,-93.84
465421789.8,-93.97
465430250.1,-65.34
465438710.3,-65.38
465447170.5,-62.85
465455630.8,-62.59
465464091.0,-68.10
465472551.3,-61.70
465481011.5,-72.25
465489471.7,-95.63
465497932.0,-90.97
465506392.2,-93.31
465514852.4,-90.86
465523312.7,-91.02
465531772.9,-87.33
465540233.1,-86.99
465548693.4,-94.73
465557153.6,-94.34
465565613.9,-95.48
465574074.1,-90.19
465582534.3,-93.85
465590994.6,-95.41
465599454.8,-92.93
465607915.0,-89.95
465616375.3,-93.03
465624835.5,-93.20
465633295.8,-72.34
465641756.0,-60.82
465650216.2,-72.90
465658676.5,-70.77
465667136.7,-70.70
465675596.9,-69.96
465684057.2,-59.08
465692517.4,-61.10
465700977.6,-93.90
465709437.9,-76.00
465717898.1,-97.08
465726358.4,-94.58
465734818.6,-96.25
465743278.8,-94.64
465751739.1,-91.56
465760199.3,-91.80
465768659.5,-79.47
465777119.8,-82.62
465785580.0,-93.35
465794040.3,-80.82
465802500.5,-87.46
465810960.7,-90.67
465819421.0,-93.74
465827881.2,-95.83
465836341.4,-89.75
465844801.7,-64.05
465853261.9,-68.29
465861722.1,-63.44
465870182.4,-59.94
465878642.6,-61.11
465887102.9,-59.02
465895563.1,-57.72
465904023.3,-68.35
465912483.6,-94.07
465920943.8,-92.84
465929404.0,-96.77
465937864.3,-99.43
465946324.5,-94.42
465954784.8,-87.37
465963245.0,-89.25
465971705.2,-97.81
465980165.5,-92.02
465988625.7,-90.69
465997085.9,-88.09
466005546.2,-92.03
466014006.4,-95.72
466022466.6,-92.82
466030926.9,-95.88
466039387.1,-94.25
466047847.4,-70.90
466056307.6,-62.22
466064767.8,-63.57
466073228.1,-59.53
466081688.3,-59.70
466090148.5,-62.29
466098608.8,-60.76
466107069.0,-58.37
466115529.3,-91.17
466123989.5,-91.35
466132449.7,-94.88
466140910.0,-90.51
466149370.2,-93.07
466157830.4,-93.96
466166290.7,-94.26
466174750.9,-98.19
466183211.2,-96.97
466191671.4,-93.62
466200131.6,-96.37
466208591.9,-92.16
466217052.1,-92.38
466225512.3,-92.14
466233972.6,-91.99
466242432.8,-93.54
466250893.0,-88.71
466259353.3,-60.78
466267813.5,-59.92
466276273.8,-63.81
466284734.0,-68.22
466293194.2,-63.17
466301654.5,-58.85
466310114.7,-66.35
466318574.9,-93.16
466327035.2,-92.35
466335495.4,-89.40
466343955.7,-91.48
466352415.9,-92.59
466360876.1,-95.88
466369336.4,-92.23
466377796.6,-89.86
466386256.8,-89.42
466394717.1,-89.83
466403177.3,-93.01
466411637.5,-93.62
466420097.8,-92.20
466428558.0,-91.91
466437018.3,-90.20
466445478.5,-94.09
466453938.7,-94.36
466462399.0,-55.63
466470859.2,-55.72
466479319.4,-60.76
466487779.7,-59.85
466496239.9,-64.79
466504700.2,-61.92
466513160.4,-58.61
466521620.6,-75.04
466530080.9,-90.29
466538541.1,-90.38
466547001.3,-92.43
466555461.6,-89.33
466563921.8,-90.75
466572382.0,-77.45
466580842.3,-90.77
466589302.5,-97.26
466597762.8,-74.06
466606223.0,-73.16
466614683.2,-92.52
466623143.5,-93.78
466631603.7,-89.70
466640063.9,-94.46
466648524.2,-91.49
466656984.4,-70.41
466665444.7,-65.44
466673904.9,-65.38
466682365.1,-54.03
466690825.4,-63.55
466699285.6,-64.28
466707745.8,-63.47
466716206.1,-60.17
466724666.3,-63.27
466733126.5,-91.64
466741586.8,-91.23
466750047.0,-92.92
466758507.3,-92.78
466766967.5,-93.79
466775427.7,-96.23
466783888.0,-92.32
466792348.2,-90.59
466800808.4,-96.07
466809268.7,-91.98
466817728.9,-90.46
466826189.2,-91.12
466834649.4,-92.50
466843109.6,-93.38
466851569.9,-94.92
466860030.1,-97.33
466868490.3,-94.62
466876950.6,-64.88
466885410.8,-64.13
466893871.0,-60.95
466902331.3,-58.54
466910791.5,-58.84
466919251.8,-59.30
466927712.0,-62.88
466936172.2,-70.53
466944632.5,-91.23
466953092.7,-90.33
466961552.9,-87.98
466970013.2,-87.42
466978473.4,-87.80
466986933.7,-89.37
466995393.9,-91.67
467003854.1,-68.64
467012314.4,-68.10
467020774.6,-68.76
467029234.8,-88.46
467037695.1,-86.38
467046155.3,-85.48
467054615.5,-82.46
467063075.8,-87.18
467071536.0,-83.51
467079996.3,-66.28
467088456.5,-67.26
467096916.7,-65.81
467105377.0,-56.37
467113837.2,-55.08
467122297.4,-58.28
467130757.7,-57.28
467139217.9,-65.57
467147678.2,-87.28
467156138.4,-83.45
467164598.6,-87.26
467173058.9,-84.60
467181519.1,-83.32
467189979.3,-85.99
467198439.6,-84.90
467206899.8,-85.30
467215360.1,-85.53
467223820.3,-82.93
467232280.5,-84.82
467240740.8,-85.63
467249201.0,-83.83
467257661.2,-83.02
467266121.5,-83.81
467274581.7,-89.21
467283041.9,-78.64
467291502.2,-59.68
467299962.4,-56.87
467308422.7,-57.97
467316882.9,-62.39
467325343.1,-62.55
467333803.4,-60.06
467342263.6,-59.50
467350723.8,-81.52
467359184.1,-79.20
467367644.3,-75.94
467376104.6,-73.44
467384564.8,-70.58
467393025.0,-67.62
467401485.3,-65.90
467409945.5,-62.81
467418405.7,-60.87
467426866.0,-58.79
467435326.2,-57.06
467443786.4,-56.43
467452246.7,-56.05
467460706.9,-56.29
467469167.2,-57.20
467477627.4,-55.04
467486087.6,-50.69
467494547.9,-46.75
467503008.1,-50.74
467511468.3,-46.77
467519928.6,-45.45
467528388.8,-46.72
467536849.1,-45.43
467545309.3,-48.01
467553769.5,-47.70
467562229.8,-53.17
467570690.0,-47.14
467579150.2,-44.50
467587610.5,-43.03
467596070.7,-42.11
467604530.9,-41.73
467612991.2,-41.94
467621451.4,-42.39
467629911.7,-43.20
467638371.9,-44.54
467646832.1,-46.51
467655292.4,-49.14
467663752.6,-52.79
467672212.8,-56.00
467680673.1,-59.42
467689133.3,-63.83
467697593.6,-49.58
467706053.8,-55.38
467714514.0,-55.81
467722974.3,-53.41
467731434.5,-58.39
467739894.7,-61.37
467748355.0,-55.90
467756815.2,-76.96
467765275.4,-82.29
467773735.7,-79.89
467782195.9,-80.94
467790656.2,-80.94
467799116.4,-80.58
467807576.6,-82.68
467816036.9,-85.46
467824497.1,-83.69
467832957.3,-83.25
467841417.6,-85.84
467849877.8,-86.04
467858338.1,-88.73
467866798.3,-85.77
467875258.5,-87.05
467883718.8,-87.46
467892179.0,-81.77
467900639.2,-68.25
467909099.5,-65.72
467917559.7,-53.94
467926019.9,-69.15
467934480.2,-65.72
467942940.4,-64.25
467951400.7,-55.29
467959860.9,-57.91
467968321.1,-85.95
467976781.4,-87.21
467985241.6,-87.25
467993701.8,-84.83
468002162.1,-79.50
468010622.3,-84.98
468019082.6,-84.83
468027542.8,-86.53
468036003.0,-83.84
468044463.3,-82.54
468052923.5,-84.94
468061383.7,-88.25
468069844.0,-87.08
468078304.2,-86.80
468086764.5,-89.73
468095224.7,-85.93
468103684.9,-85.83
468112145.2,-60.88
468120605.4,-58.15
468129065.6,-57.63
468137525.9,-62.20
468145986.1,-62.31
468154446.3,-62.54
468162906.6,-59.49
468171366.8,-69.11
468179827.1,-94.13
468188287.3,-91.75
468196747.5,-95.21
468205207.8,-89.80
468213668.0,-90.12
468222128.2,-94.98
468230588.5,-93.19
468239048.7,-93.34
468247509.0,-95.94
468255969.2,-98.29
468264429.4,-96.74
468272889.7,-92.56
468281349.9,-91.61
468289810.1,-94.96
468298270.4,-91.88
468306730.6,-91.91
468315190.8,-58.39
468323651.1,-56.51
468332111.3,-57.46
468340571.6,-61.17
468349031.8,-52.59
468357492.0,-52.44
468365952.3,-63.28
468374412.5,-66.53
468382872.7,-96.39
468391333.0,-95.55
468399793.2,-90.40
468408253.5,-97.67
468416713.7,-95.88
468425173.9,-94.86
468433634.2,-94.48
468442094.4,-91.91
468450554.6,-96.01
468459014.9,-96.51
468467475.1,-92.73
468475935.3,-90.63
468484395.6,-92.31
468492855.8,-89.71
468501316.1,-90.81
468509776.3,-93.01
468518236.5,-89.93
468526696.8,-61.55
468535157.0,-59.37
468543617.2,-60.31
468552077.5,-64.54
468560537.7,-56.37
468568998.0,-58.32
468577458.2,-63.09
468585918.4,-91.16
468594378.7,-93.95
468602838.9,-94.07
468611299.1,-93.96
468619759.4,-97.29
468628219.6,-93.98
468636679.8,-93.36
468645140.1,-93.02
468653600.3,-90.03
468662060.6,-90.40
468670520.8,-92.37
468678981.0,-86.67
468687441.3,-95.89
468695901.5,-91.56
468704361.7,-91.42
468712822.0,-94.78
468721282.2,-89.91
468729742.5,-59.59
468738202.7,-59.24
468746662.9,-59.25
468755123.2,-55.09
468763583.4,-58.30
468772043.6,-60.06
468780503.9,-57.17
468788964.1,-89.30
468797424.3,-93.35
468805884.6,-93.24
468814344.8,-92.19
468822805.1,-88.86
468831265.3,-87.18
468839725.5,-93.12
468848185.8,-93.56
468856646.0,-89.29
468865106.2,-95.97
468873566.5,-93.93
468882026.7,-93.60
468890487.0,-89.93
468898947.2,-91.62
468907407.4,-97.17
468915867.7,-88.94
468924327.9,-95.91
468932788.1,-92.35
468941248.4,-61.52
468949708.6,-58.33
468958168.8,-58.57
468966629.1,-63.21
468975089.3,-58.64
468983549.6,-59.73
468992009.8,-59.00
469000470.0,-96.13
469008930.3,-90.98
469017390.5,-90.93
469025850.7,-96.02
469034311.0,-90.63
469042771.2,-91.45
469051231.5,-94.85
469059691.7,-89.14
469068151.9,-89.44
469076612.2,-92.99
469085072.4,-90.58
469093532.6,-94.10
469101992.9,-94.60
469110453.1,-92.00
469118913.4,-93.26
469127373.6,-94.24
469135833.8,-93.21
469144294.1,-74.89
469152754.3,-64.57
469161214.5,-59.34
469169674.8,-53.79
469178135.0,-60.35
469186595.2,-59.04
469195055.5,-56.13
469203515.7,-66.69
469211976.0,-90.49
469220436.2,-80.15
469228896.4,-77.10
469237356.7,-96.37
469245816.9,-76.88
469254277.1,-92.50
469262737.4,-92.64
469271197.6,-78.39
469279657.9,-90.66
469288118.1,-80.76
469296578.3,-96.51
469305038.6,-92.58
469313498.8,-75.73
469321959.0,-91.97
469330419.3,-74.57
469338879.5,-90.73
469347339.7,-92.88
469355800.0,-61.78
469364260.2,-64.37
469372720.5,-63.21
469381180.7,-63.70
469389640.9,-62.76
469398101.2,-57.84
469406561.4,-62.46
469415021.6,-90.49
469423481.9,-94.29
469431942.1,-91.63
469440402.4,-90.79
469448862.6,-91.27
469457322.8,-93.44
469465783.1,-92.26
469474243.3,-90.49
469482703.5,-89.09
469491163.8,-96.01
469499624.0,-92.45
469508084.2,-91.37
469516544.5,-90.32
469525004.7,-92.33
469533465.0,-94.27
469541925.2,-90.97
469550385.4,-91.82
469558845.7,-94.07
469567305.9,-94.65
469575766.1,-61.47
469584226.4,-63.77
469592686.6,-62.71
469601146.9,-60.82
469609607.1,-67.44
469618067.3,-64.59
469626527.6,-65.31
469634987.8,-93.62
469643448.0,-96.34
469651908.3,-74.49
469660368.5,-92.69
469668828.7,-90.62
469677289.0,-91.76
469685749.2,-75.38
469694209.5,-75.46
469702669.7,-92.35
469711129.9,-91.01
469719590.2,-91.08
469728050.4,-95.29
469736510.6,-76.20
469744970.9,-83.07
469753431.1,-90.95
469761891.4,-94.05
469770351.6,-90.00
469778811.8,-79.78
469787272.1,-91.67
469795732.3,-89.91
469804192.5,-95.44
469812652.8,-92.24
469821113.0,-85.82
469829573.2,-85.77
469838033.5,-89.50
469846493.7,-92.44
469854954.0,-92.49
469863414.2,-87.06
469871874.4,-92.59
469880334.7,-66.67
469888794.9,-60.66
469897255.1,-60.44
469905715.4,-66.92
469914175.6,-70.93
469922635.9,-64.87
469931096.1,-63.12
469939556.3,-75.97
469948016.6,-79.76
469956476.8,-86.27
469964937.0,-91.00
469973397.3,-89.43
469981857.5,-91.81
469990317.7,-92.83
469998778.0,-75.42
470007238.2,-75.46
470015698.5,-84.75
470024158.7,-74.82
470032618.9,-73.46
470041079.2,-83.07
470049539.4,-85.18
470057999.6,-85.96
470066459.9,-85.38
470074920.1,-88.55
470083380.4,-88.65
470091840.6,-75.88
470100300.8,-88.07
470108761.1,-87.31
470117221.3,-75.73
470125681.5,-90.12
470134141.8,-95.12
470142602.0,-88.74
470151062.3,-89.40
470159522.5,-89.59
470167982.7,-87.16
470176443.0,-75.66
470184903.2,-91.37
470193363.4,-68.43
470201823.7,-65.21
470210283.9,-63.52
470218744.1,-62.78
470227204.4,-68.63
470235664.6,-66.05
470244124.9,-75.50
470252585.1,-90.29
470261045.3,-92.37
470269505.6,-89.53
470277965.8,-93.25
