Frequency (Hz),Amplitude (dBm)
462570690.0,-78.98
462579150.2,-87.28
462587610.5,-95.73
462596070.7,-100.65
462604530.9,-92.53
462612991.2,-90.56
462621451.4,-90.89
462629911.7,-85.59
462638371.9,-74.41
462646832.1,-74.25
462655292.4,-92.35
462663752.6,-85.65
462672212.8,-92.83
462680673.1,-87.04
462689133.3,-91.17
462697593.6,-87.32
462706053.8,-91.01
462714514.0,-87.58
462722974.3,-74.22
462731434.5,-79.43
462739894.7,-88.54
462748355.0,-91.95
462756815.2,-93.52
462765275.4,-94.05
462773735.7,-96.25
462782195.9,-73.49
462790656.2,-88.26
462799116.4,-89.38
462807576.6,-90.03
462816036.9,-92.76
462824497.1,-94.48
462832957.3,-87.57
462841417.6,-91.70
462849877.8,-91.41
462858338.1,-92.95
462866798.3,-72.66
462875258.5,-88.02
462883718.8,-87.42
462892179.0,-89.06
462900639.2,-92.84
462909099.5,-98.63
462917559.7,-95.70
462926019.9,-94.39
462934480.2,-73.91
462942940.4,-73.82
462951400.7,-94.75
462959860.9,-96.22
462968321.1,-91.60
462976781.4,-91.11
462985241.6,-87.37
462993701.8,-91.29
463002162.1,-91.09
463010622.3,-93.09
463019082.6,-89.08
463027542.8,-73.62
463036003.0,-95.28
463044463.3,-98.29
463052923.5,-92.05
463061383.7,-88.48
463069844.0,-91.65
463078304.2,-89.17
463086764.5,-89.33
463095224.7,-72.95
463103684.9,-89.88
463112145.2,-91.37
463120605.4,-89.96
463129065.6,-92.21
463137525.9,-89.10
463145986.1,-89.18
463154446.3,-87.55
463162906.6,-88.12
463171366.8,-91.34
463179827.1,-72.15
463188287.3,-87.56
463196747.5,-90.27
463205207.8,-89.30
463213668.0,-91.52
463222128.2,-91.75
463230588.5,-96.32
463239048.7,-87.26
463247509.0,-73.17
463255969.2,-88.82
463264429.4,-89.70
463272889.7,-87.76
463281349.9,-90.20
463289810.1,-88.75
463298270.4,-93.87
463306730.6,-90.64
463315190.8,-74.85
463323651.1,-77.62
463332111.3,-90.91
463340571.6,-90.34
463349031.8,-90.86
463357492.0,-90.69
463365952.3,-93.99
463374412.5,-93.87
463382872.7,-90.47
463391333.0,-72.47
463399793.2,-87.32
463408253.5,-91.30
463416713.7,-88.09
463425173.9,-88.07
463433634.2,-90.85
463442094.4,-86.57
463450554.6,-89.09
463459014.9,-93.90
