Frequency (Hz),Amplitude (dBm)
462570690.0,-86.53
462579150.2,-88.51
462587610.5,-92.89
462596070.7,-94.53
462604530.9,-92.76
462612991.2,-93.30
462621451.4,-84.79
462629911.7,-69.02
462638371.9,-95.79
462646832.1,-89.97
462655292.4,-85.18
462663752.6,-87.12
462672212.8,-84.78
462680673.1,-85.56
462689133.3,-85.68
462697593.6,-87.49
462706053.8,-71.05
462714514.0,-68.47
462722974.3,-86.65
462731434.5,-89.94
462739894.7,-89.11
462748355.0,-89.73
462756815.2,-88.62
462765275.4,-89.61
462773735.7,-81.51
462782195.9,-68.38
462790656.2,-87.77
462799116.4,-91.94
462807576.6,-88.47
462816036.9,-84.77
462824497.1,-86.71
462832957.3,-91.90
462841417.6,-86.33
462849877.8,-91.14
462858338.1,-74.26
462866798.3,-67.37
462875258.5,-81.62
462883718.8,-95.75
462892179.0,-90.88
462900639.2,-91.59
462909099.5,-92.78
462917559.7,-90.25
462926019.9,-91.73
462934480.2,-74.18
462942940.4,-76.30
462951400.7,-85.31
462959860.9,-87.99
462968321.1,-85.34
462976781.4,-88.32
462985241.6,-83.55
462993701.8,-83.05
463002162.1,-86.01
463010622.3,-87.31
463019082.6,-73.39
463027542.8,-68.05
463036003.0,-87.41
463044463.3,-90.25
463052923.5,-92.27
463061383.7,-94.19
463069844.0,-92.73
463078304.2,-86.34
463086764.5,-85.83
463095224.7,-68.02
463103684.9,-82.05
463112145.2,-88.51
463120605.4,-87.32
463129065.6,-89.04
463137525.9,-87.37
463145986.1,-87.30
463154446.3,-91.06
463162906.6,-69.77
463171366.8,-68.11
463179827.1,-89.30
463188287.3,-86.77
463196747.5,-91.22
463205207.8,-92.74
463213668.0,-88.02
463222128.2,-92.76
463230588.5,-91.13
463239048.7,-70.88
463247509.0,-74.18
463255969.2,-89.77
463264429.4,-87.83
463272889.7,-88.96
463281349.9,-84.22
463289810.1,-85.00
463298270.4,-95.51
463306730.6,-92.47
463315190.8,-85.55
463323651.1,-75.98
463332111.3,-66.35
463340571.6,-87.93
463349031.8,-88.24
463357492.0,-93.27
463365952.3,-91.64
463374412.5,-89.08
463382872.7,-89.21
463391333.0,-86.20
463399793.2,-67.46
463408253.5,-90.67
463416713.7,-89.10
463425173.9,-88.71
463433634.2,-89.95
463442094.4,-83.04
463450554.6,-83.18
463459014.9,-84.26
463467475.1,-87.47
463475935.3,-75.27
463484395.6,-69.16
463492855.8,-85.37
463501316.1,-85.60
463509776.3,-91.88
463518236.5,-92.35
463526696.8,-91.88
463535157.0,-89.74
463543617.2,-76.98
463552077.5,-66.49
463560537.7,-89.26
463568998.0,-89.88
463577458.2,-86.45
463585918.4,-85.96
463594378.7,-82.90
463602838.9,-85.03
463611299.1,-88.64
463619759.4,-88.86
463628219.6,-82.93
463636679.8,-67.76
463645140.1,-74.85
463653600.3,-88.65
463662060.6,-90.80
463670520.8,-91.50
463678981.0,-90.18
463687441.3,-88.07
463695901.5,-85.56
463704361.7,-82.01
463712822.0,-73.06
463721282.2,-87.78
463729742.5,-81.72
463738202.7,-82.34
463746662.9,-84.10
463755123.2,-87.33
463763583.4,-82.81
463772043.6,-80.74
463780503.9,-66.85
463788964.1,-84.40
463797424.3,-81.14
463805884.6,-81.25
463814344.8,-82.05
463822805.1,-80.89
463831265.3,-83.26
463839725.5,-79.93
463848185.8,-68.27
463856646.0,-66.45
463865106.2,-82.47
463873566.5,-80.65
463882026.7,-85.33
463890487.0,-86.98
463898947.2,-85.71
463907407.4,-81.60
463915867.7,-83.03
463924327.9,-84.63
463932788.1,-67.86
463941248.4,-68.74
463949708.6,-84.22
463958168.8,-84.94
463966629.1,-89.71
463975089.3,-86.63
463983549.6,-85.18
463992009.8,-87.19
464000470.0,-83.35
464008930.3,-67.68
464017390.5,-75.47
464025850.7,-86.22
464034311.0,-81.11
464042771.2,-87.50
464051231.5,-86.23
464059691.7,-82.01
464068151.9,-92.04
464076612.2,-89.69
464085072.4,-83.58
464093532.6,-67.30
464101992.9,-68.43
464110453.1,-89.29
464118913.4,-86.56
464127373.6,-89.42
464135833.8,-90.31
464144294.1,-89.00
464152754.3,-86.48
464161214.5,-75.61
464169674.8,-66.95
464178135.0,-89.14
464186595.2,-88.16
464195055.5,-89.71
464203515.7,-86.44
464211976.0,-81.89
464220436.2,-82.68
464228896.4,-85.48
464237356.7,-85.45
464245816.9,-66.27
464254277.1,-78.27
464262737.4,-87.53
464271197.6,-89.38
464279657.9,-88.21
464288118.1,-71.99
464296578.3,-71.59
464305038.6,-83.87
464313498.8,-66.21
464321959.0,-80.96
464330419.3,-82.58
464338879.5,-82.87
464347339.7,-85.44
464355800.0,-84.68
464364260.2,-84.50
464372720.5,-86.82
464381180.7,-88.35
464389640.9,-85.83
464398101.2,-66.96
464406561.4,-83.11
464415021.6,-86.51
464423481.9,-84.82
464431942.1,-88.78
464440402.4,-84.78
464448862.6,-85.32
464457322.8,-86.80
464465783.1,-85.34
464474243.3,-66.36
464482703.5,-87.97
464491163.8,-86.32
464499624.0,-83.91
464508084.2,-84.95
464516544.5,-86.22
