Frequency (Hz),Amplitude (dBm)
462570690.0,-96.34
462579150.2,-96.62
462587610.5,-92.00
462596070.7,-93.42
462604530.9,-88.06
462612991.2,-90.34
462621451.4,-83.17
462629911.7,-76.96
462638371.9,-92.52
462646832.1,-92.01
462655292.4,-87.96
462663752.6,-92.03
462672212.8,-85.93
462680673.1,-86.31
462689133.3,-89.00
462697593.6,-77.23
462706053.8,-85.63
462714514.0,-92.24
462722974.3,-90.19
462731434.5,-91.86
462739894.7,-92.07
462748355.0,-92.29
462756815.2,-94.26
462765275.4,-91.28
462773735.7,-87.52
462782195.9,-77.69
462790656.2,-90.30
462799116.4,-90.12
462807576.6,-89.88
462816036.9,-93.66
462824497.1,-88.72
462832957.3,-88.94
462841417.6,-89.87
462849877.8,-77.91
462858338.1,-88.32
462866798.3,-88.64
462875258.5,-88.50
462883718.8,-87.33
462892179.0,-89.37
462900639.2,-90.40
462909099.5,-91.73
462917559.7,-93.76
462926019.9,-94.66
462934480.2,-78.28
462942940.4,-83.47
462951400.7,-94.54
462959860.9,-90.96
462968321.1,-92.65
462976781.4,-92.03
462985241.6,-90.36
462993701.8,-95.40
463002162.1,-93.34
463010622.3,-77.50
463019082.6,-87.95
463027542.8,-94.60
463036003.0,-95.57
463044463.3,-93.63
463052923.5,-88.83
463061383.7,-93.44
463069844.0,-88.94
463078304.2,-90.58
463086764.5,-94.00
463095224.7,-78.74
463103684.9,-91.56
463112145.2,-92.08
463120605.4,-95.12
463129065.6,-91.91
463137525.9,-91.64
463145986.1,-92.44
463154446.3,-92.84
463162906.6,-78.85
463171366.8,-97.65
463179827.1,-93.77
463188287.3,-92.15
463196747.5,-92.10
463205207.8,-91.94
463213668.0,-94.42
463222128.2,-92.53
463230588.5,-93.67
463239048.7,-82.06
463247509.0,-74.88
463255969.2,-89.41
463264429.4,-95.08
463272889.7,-94.03
463281349.9,-89.12
463289810.1,-87.79
463298270.4,-91.20
463306730.6,-90.31
463315190.8,-83.14
463323651.1,-87.81
463332111.3,-91.64
463340571.6,-96.37
463349031.8,-89.34
463357492.0,-89.88
463365952.3,-90.84
463374412.5,-93.25
463382872.7,-87.03
463391333.0,-89.16
463399793.2,-76.57
463408253.5,-82.46
463416713.7,-90.23
463425173.9,-91.20
463433634.2,-90.09
463442094.4,-90.18
463450554.6,-93.53
463459014.9,-89.80
463467475.1,-90.03
463475935.3,-76.87
463484395.6,-96.06
463492855.8,-90.04
463501316.1,-89.98
463509776.3,-91.10
463518236.5,-91.02
463526696.8,-89.43
463535157.0,-96.07
463543617.2,-92.18
463552077.5,-81.38
463560537.7,-75.22
463568998.0,-92.82
463577458.2,-93.07
463585918.4,-95.13
463594378.7,-94.22
463602838.9,-92.49
463611299.1,-91.70
463619759.4,-92.17
463628219.6,-80.79
463636679.8,-82.07
463645140.1,-96.45
463653600.3,-91.88
463662060.6,-94.03
463670520.8,-88.46
463678981.0,-91.87
463687441.3,-89.06
463695901.5,-91.88
463704361.7,-93.87
463712822.0,-81.19
463721282.2,-79.52
463729742.5,-89.37
463738202.7,-87.45
463746662.9,-90.46
463755123.2,-94.09
463763583.4,-89.87
463772043.6,-93.50
463780503.9,-93.45
463788964.1,-75.96
463797424.3,-85.97
463805884.6,-93.23
463814344.8,-94.51
463822805.1,-95.00
463831265.3,-93.37
463839725.5,-88.95
463848185.8,-93.20
463856646.0,-90.51
463865106.2,-88.83
463873566.5,-75.18
463882026.7,-90.96
463890487.0,-90.08
463898947.2,-94.06
463907407.4,-90.64
463915867.7,-88.65
463924327.9,-90.21
463932788.1,-95.41
463941248.4,-75.80
463949708.6,-81.20
463958168.8,-89.25
463966629.1,-90.75
463975089.3,-90.47
463983549.6,-87.78
463992009.8,-87.43
464000470.0,-88.14
464008930.3,-81.27
464017390.5,-82.83
464025850.7,-89.71
464034311.0,-93.15
464042771.2,-92.48
464051231.5,-89.04
464059691.7,-90.01
464068151.9,-90.74
464076612.2,-89.36
464085072.4,-76.92
464093532.6,-76.72
464101992.9,-88.18
464110453.1,-88.11
464118913.4,-90.90
464127373.6,-88.60
464135833.8,-83.57
464144294.1,-84.55
464152754.3,-87.58
464161214.5,-84.40
464169674.8,-81.42
464178135.0,-83.38
464186595.2,-84.46
464195055.5,-82.16
464203515.7,-86.30
464211976.0,-85.81
464220436.2,-85.79
464228896.4,-85.26
464237356.7,-73.36
464245816.9,-73.23
464254277.1,-88.13
464262737.4,-89.04
464271197.6,-86.37
464279657.9,-84.45
464288118.1,-84.80
464296578.3,-89.31
464305038.6,-88.80
464313498.8,-86.61
464321959.0,-75.71
464330419.3,-90.40
464338879.5,-89.09
464347339.7,-92.58
464355800.0,-89.89
464364260.2,-95.16
464372720.5,-94.69
464381180.7,-90.83
464389640.9,-87.82
464398101.2,-76.25
464406561.4,-92.24
464415021.6,-90.99
464423481.9,-92.29
464431942.1,-94.97
464440402.4,-92.42
464448862.6,-91.99
464457322.8,-94.38
464465783.1,-93.84
464474243.3,-92.59
464482703.5,-74.62
464491163.8,-89.86
464499624.0,-90.04
464508084.2,-92.08
464516544.5,-95.27
464525004.7,-93.78
464533465.0,-91.99
464541925.2,-92.09
464550385.4,-75.01
464558845.7,-94.48
464567305.9,-91.58
464575766.1,-92.46
464584226.4,-91.41
464592686.6,-90.26
464601146.9,-87.15
464609607.1,-87.72
464618067.3,-94.73
464626527.6,-91.33
464634987.8,-74.00
464643448.0,-93.72
464651908.3,-94.94
464660368.5,-89.89
464668828.7,-90.42
464677289.0,-90.24
464685749.2,-85.41
464694209.5,-86.73
464702669.7,-76.72
464711129.9,-82.16
464719590.2,-82.88
464728050.4,-84.53
464736510.6,-86.07
464744970.9,-85.66
464753431.1,-84.75
464761891.4,-82.19
464770351.6,-83.83
464778811.8,-83.53
464787272.1,-81.69
464795732.3,-79.80
464804192.5,-81.59
464812652.8,-85.79
464821113.0,-85.81
464829573.2,-87.46
464838033.5,-86.33
464846493.7,-87.91
464854954.0,-91.25
464863414.2,-76.31
464871874.4,-87.93
464880334.7,-90.61
464888794.9,-92.23
464897255.1,-86.50
464905715.4,-91.32
464914175.6,-89.41
464922635.9,-94.18
464931096.1,-91.23
464939556.3,-90.52
464948016.6,-75.16
464956476.8,-90.83
464964937.0,-93.16
464973397.3,-89.87
464981857.5,-91.94
464990317.7,-89.29
464998778.0,-90.10
465007238.2,-92.45
465015698.5,-74.24
465024158.7,-80.52
465032618.9,-87.59
465041079.2,-89.85
465049539.4,-89.98
465057999.6,-91.92
465066459.9,-89.34
465074920.1,-90.65
465083380.4,-90.72
465091840.6,-91.80
465100300.8,-74.34
465108761.1,-84.82
465117221.3,-92.82
465125681.5,-87.79
465134141.8,-92.99
465142602.0,-90.10
465151062.3,-91.10
465159522.5,-91.59
465167982.7,-92.66
465176443.0,-75.18
465184903.2,-86.79
465193363.4,-90.93
465201823.7,-90.15
465210283.9,-88.85
465218744.1,-92.50
465227204.4,-88.31
465235664.6,-90.00
465244124.9,-92.28
465252585.1,-89.31
465261045.3,-74.02
465269505.6,-88.21
465277965.8,-89.29
465286426.0,-91.19
465294886.3,-91.79
465303346.5,-91.55
465311806.8,-96.15
465320267.0,-95.95
465328727.2,-75.50
465337187.5,-78.14
465345647.7,-90.19
465354107.9,-95.15
465362568.2,-90.07
465371028.4,-89.84
465379488.6,-88.31
465387948.9,-89.49
465396409.1,-90.69
465404869.4,-78.16
465413329.6,-72.89
465421789.8,-87.94
465430250.1,-93.45
465438710.3,-93.61
465447170.5,-93.95
465455630.8,-87.77
465464091.0,-90.77
465472551.3,-90.37
465481011.5,-85.26
465489471.7,-73.49
465497932.0,-89.67
465506392.2,-88.79
465514852.4,-88.37
465523312.7,-87.58
465531772.9,-87.71
465540233.1,-91.71
465548693.4,-93.62
465557153.6,-88.02
465565613.9,-74.48
465574074.1,-76.96
465582534.3,-91.54
465590994.6,-94.47
465599454.8,-90.92
465607915.0,-90.77
465616375.3,-89.01
465624835.5,-87.69
465633295.8,-91.00
465641756.0,-74.86
465650216.2,-91.47
465658676.5,-89.62
465667136.7,-90.40
465675596.9,-88.39
465684057.2,-89.64
465692517.4,-89.18
465700977.6,-87.25
465709437.9,-87.75
465717898.1,-76.98
465726358.4,-74.85
465734818.6,-89.77
465743278.8,-95.80
465751739.1,-92.71
465760199.3,-92.15
465768659.5,-92.66
465777119.8,-91.49
465785580.0,-92.98
465794040.3,-83.87
465802500.5,-72.77
465810960.7,-87.56
465819421.0,-85.92
465827881.2,-88.21
465836341.4,-88.56
465844801.7,-91.37
465853261.9,-88.40
465861722.1,-73.54
465870182.4,-78.20
465878642.6,-89.05
465887102.9,-88.35
465895563.1,-89.13
465904023.3,-91.55
465912483.6,-93.74
465920943.8,-89.24
465929404.0,-88.50
465937864.3,-75.04
465946324.5,-78.95
465954784.8,-87.92
465963245.0,-87.42
465971705.2,-87.37
465980165.5,-83.47
465988625.7,-86.23
465997085.9,-91.84
466005546.2,-89.32
466014006.4,-85.23
466022466.6,-73.33
466030926.9,-84.09
466039387.1,-92.27
466047847.4,-88.19
466056307.6,-90.02
466064767.8,-88.28
466073228.1,-89.00
466081688.3,-86.27
466090148.5,-86.29
466098608.8,-76.33
466107069.0,-86.31
466115529.3,-86.16
466123989.5,-86.42
466132449.7,-87.40
466140910.0,-86.76
466149370.2,-87.87
466157830.4,-86.47
466166290.7,-87.66
466174750.9,-73.31
466183211.2,-86.10
466191671.4,-89.64
466200131.6,-86.64
466208591.9,-87.98
466217052.1,-88.44
466225512.3,-91.62
466233972.6,-87.82
466242432.8,-85.69
466250893.0,-75.35
466259353.3,-74.01
466267813.5,-88.44
466276273.8,-87.48
466284734.0,-90.11
466293194.2,-85.41
466301654.5,-84.33
466310114.7,-87.70
466318574.9,-85.36
466327035.2,-91.44
466335495.4,-73.75
466343955.7,-84.27
466352415.9,-85.22
466360876.1,-91.44
466369336.4,-86.55
466377796.6,-84.20
466386256.8,-85.33
466394717.1,-84.37
466403177.3,-74.74
466411637.5,-77.99
466420097.8,-86.22
466428558.0,-84.39
466437018.3,-84.76
466445478.5,-84.54
466453938.7,-87.79
466462399.0,-85.78
466470859.2,-85.85
466479319.4,-89.56
466487779.7,-73.56
466496239.9,-83.83
466504700.2,-83.93
466513160.4,-86.86
466521620.6,-88.13
466530080.9,-87.34
466538541.1,-88.75
466547001.3,-85.81
466555461.6,-87.54
466563921.8,-74.15
466572382.0,-76.33
466580842.3,-84.96
466589302.5,-87.83
466597762.8,-85.54
466606223.0,-84.17
466614683.2,-82.60
466623143.5,-82.97
466631603.7,-84.11
466640063.9,-86.16
466648524.2,-75.55
466656984.4,-81.74
466665444.7,-83.86
466673904.9,-87.04
466682365.1,-86.82
466690825.4,-82.90
466699285.6,-83.00
466707745.8,-82.68
466716206.1,-83.34
466724666.3,-76.91
466733126.5,-83.43
466741586.8,-83.16
466750047.0,-83.43
466758507.3,-83.24
466766967.5,-82.58
466775427.7,-81.66
466783888.0,-81.95
466792348.2,-81.97
466800808.4,-75.10
466809268.7,-76.56
466817728.9,-82.78
466826189.2,-82.50
466834649.4,-82.94
466843109.6,-84.27
466851569.9,-82.83
466860030.1,-82.35
466868490.3,-82.26
466876950.6,-77.17
466885410.8,-71.08
466893871.0,-82.07
466902331.3,-80.41
466910791.5,-80.67
466919251.8,-82.00
466927712.0,-80.40
466936172.2,-80.95
466944632.5,-80.84
466953092.7,-81.76
466961552.9,-84.46
466970013.2,-74.34
466978473.4,-89.24
466986933.7,-78.04
466995393.9,-78.53
467003854.1,-78.36
467012314.4,-79.41
467020774.6,-77.73
467029234.8,-79.13
467037695.1,-78.93
467046155.3,-75.78
467054615.5,-78.41
467063075.8,-77.25
467071536.0,-80.22
467079996.3,-76.39
467088456.5,-76.96
467096916.7,-80.41
467105377.0,-79.45
467113837.2,-76.59
467122297.4,-71.22
467130757.7,-72.12
467139217.9,-77.83
467147678.2,-77.14
467156138.4,-75.51
467164598.6,-78.04
467173058.9,-76.69
467181519.1,-75.49
467189979.3,-76.33
467198439.6,-69.56
467206899.8,-68.17
467215360.1,-75.87
467223820.3,-75.38
467232280.5,-75.23
467240740.8,-73.84
467249201.0,-73.06
467257661.2,-73.30
467266121.5,-73.50
467274581.7,-74.13
467283041.9,-72.34
467291502.2,-73.12
467299962.4,-72.62
467308422.7,-72.02
467316882.9,-71.96
467325343.1,-71.63
467333803.4,-71.47
467342263.6,-70.55
467350723.8,-69.05
467359184.1,-71.60
467367644.3,-69.88
467376104.6,-68.97
467384564.8,-71.27
467393025.0,-67.21
467401485.3,-64.72
467409945.5,-64.10
467418405.7,-62.44
467426866.0,-58.79
467435326.2,-58.54
467443786.4,-60.39
467452246.7,-59.99
467460706.9,-55.28
467469167.2,-51.81
467477627.4,-51.50
467486087.6,-48.34
467494547.9,-47.37
467503008.1,-48.60
467511468.3,-44.83
467519928.6,-44.68
467528388.8,-44.95
467536849.1,-44.84
467545309.3,-42.67
467553769.5,-42.73
467562229.8,-44.80
467570690.0,-44.03
467579150.2,-42.62
467587610.5,-42.41
467596070.7,-46.15
467604530.9,-45.41
467612991.2,-45.34
467621451.4,-47.68
467629911.7,-50.67
467638371.9,-49.78
467646832.1,-49.81
467655292.4,-55.41
467663752.6,-55.32
467672212.8,-55.65
467680673.1,-60.27
467689133.3,-57.85
467697593.6,-60.23
467706053.8,-66.10
467714514.0,-65.38
467722974.3,-65.29
467731434.5,-71.71
467739894.7,-66.87
467748355.0,-67.51
467756815.2,-70.23
467765275.4,-71.26
467773735.7,-71.78
467782195.9,-70.80
467790656.2,-71.03
467799116.4,-69.20
467807576.6,-69.26
467816036.9,-74.28
467824497.1,-71.82
467832957.3,-76.47
467841417.6,-73.26
467849877.8,-73.25
467858338.1,-73.28
467866798.3,-73.37
467875258.5,-73.48
467883718.8,-69.18
467892179.0,-74.46
467900639.2,-72.90
467909099.5,-74.98
467917559.7,-73.97
467926019.9,-74.73
467934480.2,-75.65
467942940.4,-80.40
467951400.7,-77.03
467959860.9,-71.37
467968321.1,-72.70
467976781.4,-77.66
467985241.6,-79.64
467993701.8,-79.26
468002162.1,-78.35
468010622.3,-75.89
468019082.6,-77.54
468027542.8,-75.23
468036003.0,-75.50
468044463.3,-80.21
468052923.5,-81.72
468061383.7,-78.60
468069844.0,-75.27
468078304.2,-78.38
468086764.5,-82.55
468095224.7,-79.97
468103684.9,-79.12
468112145.2,-77.03
468120605.4,-72.16
468129065.6,-79.62
468137525.9,-80.89
468145986.1,-79.09
468154446.3,-78.92
468162906.6,-80.27
468171366.8,-80.59
468179827.1,-79.52
468188287.3,-79.57
468196747.5,-74.63
468205207.8,-82.71
468213668.0,-81.69
468222128.2,-81.87
468230588.5,-80.18
468239048.7,-80.38
468247509.0,-79.58
468255969.2,-81.19
468264429.4,-83.79
468272889.7,-73.35
468281349.9,-73.14
468289810.1,-81.83
468298270.4,-80.97
468306730.6,-82.42
468315190.8,-82.16
468323651.1,-83.46
468332111.3,-82.05
468340571.6,-82.18
468349031.8,-72.63
468357492.0,-82.28
468365952.3,-84.99
468374412.5,-81.32
468382872.7,-82.66
468391333.0,-83.33
468399793.2,-83.74
468408253.5,-83.68
468416713.7,-83.97
468425173.9,-75.81
468433634.2,-72.26
468442094.4,-81.86
468450554.6,-82.03
468459014.9,-82.96
468467475.1,-82.55
468475935.3,-84.60
468484395.6,-84.71
468492855.8,-87.56
468501316.1,-79.09
468509776.3,-76.50
468518236.5,-83.48
468526696.8,-83.61
468535157.0,-84.54
468543617.2,-83.68
468552077.5,-82.87
468560537.7,-82.61
468568998.0,-83.16
468577458.2,-85.73
468585918.4,-75.71
468594378.7,-74.72
468602838.9,-82.89
468611299.1,-85.62
468619759.4,-86.44
468628219.6,-89.17
468636679.8,-85.60
468645140.1,-84.32
468653600.3,-87.15
468662060.6,-72.83
468670520.8,-74.49
468678981.0,-86.83
468687441.3,-83.07
468695901.5,-88.77
468704361.7,-86.32
468712822.0,-83.49
468721282.2,-82.00
468729742.5,-84.91
468738202.7,-84.63
468746662.9,-72.18
468755123.2,-83.24
468763583.4,-86.42
468772043.6,-86.14
468780503.9,-83.87
468788964.1,-88.16
468797424.3,-87.90
468805884.6,-84.92
468814344.8,-76.11
468822805.1,-75.88
468831265.3,-85.26
468839725.5,-86.37
468848185.8,-83.60
468856646.0,-84.36
468865106.2,-83.80
468873566.5,-85.12
468882026.7,-87.61
468890487.0,-87.38
468898947.2,-72.15
468907407.4,-73.61
468915867.7,-86.29
468924327.9,-87.48
468932788.1,-89.99
468941248.4,-85.37
468949708.6,-87.21
468958168.8,-85.79
468966629.1,-85.91
468975089.3,-84.07
468983549.6,-74.11
468992009.8,-88.87
469000470.0,-87.03
469008930.3,-86.06
469017390.5,-84.70
469025850.7,-86.58
469034311.0,-87.88
469042771.2,-86.66
469051231.5,-85.18
469059691.7,-72.22
469068151.9,-72.56
469076612.2,-87.00
469085072.4,-87.77
469093532.6,-85.98
469101992.9,-88.22
469110453.1,-87.00
469118913.4,-90.58
469127373.6,-84.50
469135833.8,-72.58
469144294.1,-88.38
469152754.3,-88.43
469161214.5,-86.77
469169674.8,-87.83
469178135.0,-87.43
469186595.2,-86.62
