Frequency (Hz),Amplitude (dBm)
462570690.0,-69.07
462579150.2,-69.57
462587610.5,-81.53
462596070.7,-89.11
462604530.9,-62.53
462612991.2,-63.21
462621451.4,-63.89
462629911.7,-63.27
462638371.9,-68.80
462646832.1,-78.08
462655292.4,-75.06
462663752.6,-75.38
462672212.8,-80.10
462680673.1,-77.92
462689133.3,-72.25
462697593.6,-71.90
462706053.8,-73.09
462714514.0,-73.49
462722974.3,-76.83
462731434.5,-80.59
462739894.7,-85.24
462748355.0,-83.97
462756815.2,-79.96
462765275.4,-79.13
462773735.7,-77.05
462782195.9,-78.79
462790656.2,-72.26
462799116.4,-91.67
462807576.6,-82.79
462816036.9,-84.42
462824497.1,-93.74
462832957.3,-86.97
462841417.6,-86.29
462849877.8,-83.82
462858338.1,-81.05
462866798.3,-80.97
462875258.5,-79.42
462883718.8,-81.54
462892179.0,-86.16
462900639.2,-80.82
462909099.5,-84.71
462917559.7,-89.25
462926019.9,-89.33
462934480.2,-85.37
462942940.4,-82.72
462951400.7,-81.55
462959860.9,-83.01
462968321.1,-83.48
462976781.4,-80.64
462985241.6,-82.03
462993701.8,-92.29
463002162.1,-97.43
463010622.3,-92.71
463019082.6,-92.33
463027542.8,-86.64
463036003.0,-81.11
463044463.3,-82.64
463052923.5,-83.71
463061383.7,-87.58
463069844.0,-86.09
463078304.2,-89.61
463086764.5,-89.72
463095224.7,-90.77
463103684.9,-90.16
463112145.2,-90.20
463120605.4,-85.78
463129065.6,-88.11
463137525.9,-83.30
463145986.1,-84.14
463154446.3,-86.54
463162906.6,-88.07
463171366.8,-94.63
463179827.1,-91.54
463188287.3,-87.37
463196747.5,-89.08
463205207.8,-87.56
463213668.0,-84.73
463222128.2,-86.69
463230588.5,-88.82
463239048.7,-90.17
463247509.0,-90.81
463255969.2,-93.70
463264429.4,-87.46
463272889.7,-87.97
463281349.9,-91.75
463289810.1,-91.80
463298270.4,-87.46
463306730.6,-85.40
463315190.8,-85.62
463323651.1,-88.74
463332111.3,-86.62
463340571.6,-86.69
463349031.8,-94.66
463357492.0,-86.16
463365952.3,-86.47
463374412.5,-87.24
463382872.7,-80.66
463391333.0,-84.66
463399793.2,-83.52
463408253.5,-82.37
463416713.7,-86.56
463425173.9,-81.93
463433634.2,-84.96
463442094.4,-82.55
463450554.6,-82.77
463459014.9,-83.74
463467475.1,-83.13
463475935.3,-78.24
463484395.6,-79.82
463492855.8,-81.69
463501316.1,-81.65
463509776.3,-82.12
463518236.5,-82.30
463526696.8,-84.60
463535157.0,-83.96
463543617.2,-84.67
463552077.5,-83.97
463560537.7,-82.37
463568998.0,-85.00
463577458.2,-86.98
463585918.4,-88.73
463594378.7,-91.05
463602838.9,-88.67
463611299.1,-94.39
463619759.4,-87.83
463628219.6,-89.91
463636679.8,-90.65
463645140.1,-92.67
463653600.3,-87.19
463662060.6,-91.92
463670520.8,-89.74
463678981.0,-88.81
463687441.3,-90.99
463695901.5,-88.86
463704361.7,-88.47
463712822.0,-85.98
463721282.2,-88.17
463729742.5,-79.75
463738202.7,-79.24
463746662.9,-83.02
463755123.2,-81.26
463763583.4,-82.22
463772043.6,-83.02
463780503.9,-85.27
463788964.1,-85.36
463797424.3,-80.55
463805884.6,-80.57
463814344.8,-83.17
463822805.1,-81.44
463831265.3,-83.99
463839725.5,-82.73
463848185.8,-84.17
463856646.0,-85.85
463865106.2,-87.50
463873566.5,-86.47
463882026.7,-90.45
463890487.0,-89.08
463898947.2,-85.56
463907407.4,-85.71
463915867.7,-91.99
463924327.9,-91.78
463932788.1,-89.11
463941248.4,-89.91
463949708.6,-91.22
463958168.8,-91.47
463966629.1,-92.72
463975089.3,-92.31
463983549.6,-85.23
463992009.8,-91.66
464000470.0,-83.55
464008930.3,-85.52
464017390.5,-90.13
464025850.7,-85.95
464034311.0,-90.37
464042771.2,-90.44
464051231.5,-88.61
464059691.7,-87.67
464068151.9,-83.70
464076612.2,-81.13
464085072.4,-86.77
464093532.6,-85.35
464101992.9,-84.93
464110453.1,-86.33
464118913.4,-84.25
464127373.6,-84.17
464135833.8,-85.50
464144294.1,-84.79
464152754.3,-83.14
464161214.5,-83.11
464169674.8,-88.10
464178135.0,-80.39
464186595.2,-89.04
464195055.5,-89.37
464203515.7,-89.09
464211976.0,-91.71
464220436.2,-92.53
464228896.4,-88.14
464237356.7,-93.45
464245816.9,-90.57
464254277.1,-82.10
464262737.4,-88.43
464271197.6,-86.87
464279657.9,-89.14
464288118.1,-93.02
464296578.3,-93.58
464305038.6,-89.30
464313498.8,-92.28
464321959.0,-90.22
464330419.3,-90.90
464338879.5,-92.90
464347339.7,-90.17
464355800.0,-93.58
464364260.2,-93.83
464372720.5,-88.45
464381180.7,-94.19
464389640.9,-92.27
464398101.2,-92.48
464406561.4,-88.67
464415021.6,-92.50
464423481.9,-85.27
464431942.1,-84.68
464440402.4,-87.90
464448862.6,-92.53
464457322.8,-90.32
464465783.1,-93.45
464474243.3,-92.60
464482703.5,-93.26
464491163.8,-96.14
464499624.0,-89.58
464508084.2,-92.31
464516544.5,-92.27
464525004.7,-83.60
464533465.0,-89.68
464541925.2,-86.05
464550385.4,-86.70
464558845.7,-85.78
464567305.9,-86.20
464575766.1,-85.07
464584226.4,-86.13
464592686.6,-82.61
464601146.9,-81.65
464609607.1,-83.26
464618067.3,-86.89
464626527.6,-82.76
464634987.8,-82.92
464643448.0,-83.25
464651908.3,-83.44
464660368.5,-86.28
464668828.7,-86.01
464677289.0,-85.01
464685749.2,-87.54
464694209.5,-81.80
464702669.7,-80.73
464711129.9,-87.62
464719590.2,-86.87
464728050.4,-93.37
464736510.6,-89.63
464744970.9,-92.10
464753431.1,-90.86
464761891.4,-94.55
464770351.6,-87.31
464778811.8,-92.15
464787272.1,-88.30
464795732.3,-86.49
464804192.5,-85.31
464812652.8,-87.74
464821113.0,-92.33
464829573.2,-90.75
464838033.5,-94.19
464846493.7,-93.66
464854954.0,-94.93
464863414.2,-90.79
464871874.4,-84.95
