Frequency (Hz),Amplitude (dBm)
462570690.0,-80.12
462579150.2,-86.93
462587610.5,-85.60
462596070.7,-83.18
462604530.9,-83.14
462612991.2,-70.13
462621451.4,-67.21
462629911.7,-67.37
462638371.9,-69.07
462646832.1,-69.71
462655292.4,-81.06
462663752.6,-89.06
462672212.8,-87.38
462680673.1,-86.27
462689133.3,-85.46
462697593.6,-79.23
462706053.8,-80.61
462714514.0,-76.73
462722974.3,-76.85
462731434.5,-78.41
462739894.7,-87.94
462748355.0,-83.32
462756815.2,-89.77
462765275.4,-90.50
462773735.7,-89.33
462782195.9,-87.15
462790656.2,-80.91
462799116.4,-79.35
462807576.6,-81.38
462816036.9,-81.57
462824497.1,-84.02
462832957.3,-85.30
462841417.6,-91.33
462849877.8,-95.16
462858338.1,-94.34
462866798.3,-86.65
462875258.5,-91.60
462883718.8,-84.28
462892179.0,-81.81
462900639.2,-87.37
462909099.5,-90.38
462917559.7,-91.72
462926019.9,-88.03
462934480.2,-94.67
462942940.4,-93.02
462951400.7,-92.97
462959860.9,-88.02
462968321.1,-85.59
462976781.4,-83.44
462985241.6,-82.25
462993701.8,-85.88
463002162.1,-89.60
463010622.3,-91.31
463019082.6,-96.15
463027542.8,-88.83
463036003.0,-88.22
463044463.3,-84.74
463052923.5,-89.01
463061383.7,-88.86
463069844.0,-85.22
463078304.2,-83.09
463086764.5,-90.27
463095224.7,-89.50
463103684.9,-90.61
463112145.2,-94.70
463120605.4,-92.32
463129065.6,-87.27
463137525.9,-84.80
463145986.1,-85.05
463154446.3,-90.33
463162906.6,-93.90
463171366.8,-93.11
463179827.1,-92.56
463188287.3,-90.33
463196747.5,-95.76
463205207.8,-85.01
463213668.0,-89.18
463222128.2,-84.96
463230588.5,-86.07
463239048.7,-88.29
463247509.0,-95.09
463255969.2,-90.17
463264429.4,-87.93
463272889.7,-89.78
463281349.9,-89.94
463289810.1,-89.74
463298270.4,-86.45
463306730.6,-88.32
463315190.8,-89.36
463323651.1,-88.57
463332111.3,-87.59
463340571.6,-91.38
463349031.8,-89.53
463357492.0,-85.86
463365952.3,-96.22
463374412.5,-91.82
463382872.7,-93.72
463391333.0,-87.98
463399793.2,-85.13
463408253.5,-89.60
463416713.7,-88.89
463425173.9,-85.74
463433634.2,-87.83
463442094.4,-86.09
463450554.6,-90.07
463459014.9,-88.52
463467475.1,-86.75
463475935.3,-90.09
463484395.6,-91.24
463492855.8,-84.96
463501316.1,-86.57
463509776.3,-85.59
463518236.5,-88.92
463526696.8,-83.68
463535157.0,-90.51
463543617.2,-87.73
463552077.5,-87.51
463560537.7,-86.26
463568998.0,-89.88
463577458.2,-89.81
463585918.4,-88.37
463594378.7,-83.66
463602838.9,-91.04
463611299.1,-86.35
463619759.4,-86.77
463628219.6,-87.62
463636679.8,-92.55
463645140.1,-90.76
463653600.3,-88.25
463662060.6,-91.08
463670520.8,-88.62
463678981.0,-87.01
463687441.3,-93.04
463695901.5,-89.35
463704361.7,-90.26
463712822.0,-91.37
463721282.2,-88.65
463729742.5,-85.61
463738202.7,-85.94
463746662.9,-84.40
463755123.2,-85.35
463763583.4,-86.72
463772043.6,-87.00
463780503.9,-85.36
463788964.1,-85.64
463797424.3,-87.16
463805884.6,-88.83
463814344.8,-87.73
463822805.1,-85.35
463831265.3,-85.71
463839725.5,-87.41
463848185.8,-84.66
463856646.0,-86.68
463865106.2,-85.36
463873566.5,-85.46
463882026.7,-89.26
463890487.0,-85.60
463898947.2,-86.03
463907407.4,-87.05
463915867.7,-93.88
463924327.9,-87.41
463932788.1,-86.11
463941248.4,-89.42
463949708.6,-86.75
463958168.8,-87.06
463966629.1,-88.17
463975089.3,-87.18
463983549.6,-86.54
463992009.8,-86.75
464000470.0,-87.21
464008930.3,-88.16
464017390.5,-85.97
464025850.7,-91.82
464034311.0,-87.14
464042771.2,-85.01
464051231.5,-88.20
464059691.7,-87.13
464068151.9,-84.28
464076612.2,-85.49
464085072.4,-85.59
464093532.6,-86.61
464101992.9,-85.06
464110453.1,-86.29
464118913.4,-85.17
464127373.6,-84.39
464135833.8,-82.35
464144294.1,-85.46
464152754.3,-86.27
464161214.5,-83.84
464169674.8,-86.64
464178135.0,-87.05
464186595.2,-84.80
464195055.5,-85.66
464203515.7,-87.52
464211976.0,-87.09
464220436.2,-87.85
464228896.4,-88.76
464237356.7,-93.52
464245816.9,-91.55
464254277.1,-92.75
464262737.4,-89.18
464271197.6,-95.37
464279657.9,-86.69
464288118.1,-90.78
464296578.3,-88.38
464305038.6,-88.55
464313498.8,-95.78
464321959.0,-88.37
464330419.3,-89.02
464338879.5,-90.99
464347339.7,-90.96
464355800.0,-90.88
464364260.2,-85.65
464372720.5,-86.15
464381180.7,-85.64
464389640.9,-88.09
464398101.2,-89.71
464406561.4,-91.51
464415021.6,-87.51
464423481.9,-88.26
464431942.1,-86.56
464440402.4,-86.10
464448862.6,-91.32
464457322.8,-85.25
464465783.1,-85.52
464474243.3,-87.25
464482703.5,-84.14
464491163.8,-84.41
464499624.0,-85.99
464508084.2,-87.88
464516544.5,-87.47
464525004.7,-83.33
464533465.0,-87.00
464541925.2,-92.36
464550385.4,-89.94
464558845.7,-96.09
464567305.9,-87.56
464575766.1,-89.39
464584226.4,-93.87
464592686.6,-93.18
464601146.9,-93.48
464609607.1,-91.78
464618067.3,-88.27
464626527.6,-88.28
464634987.8,-91.72
464643448.0,-86.17
464651908.3,-87.39
