Frequency (Hz),Amplitude (dBm)
462570690.0,-55.82
462579150.2,-56.09
462587610.5,-56.45
462596070.7,-56.93
462604530.9,-59.00
462612991.2,-62.30
462621451.4,-98.33
462629911.7,-77.19
462638371.9,-67.28
462646832.1,-64.79
462655292.4,-62.36
462663752.6,-62.57
462672212.8,-63.57
462680673.1,-64.69
462689133.3,-70.91
462697593.6,-92.03
462706053.8,-81.24
462714514.0,-82.82
462722974.3,-72.56
462731434.5,-71.41
462739894.7,-68.71
462748355.0,-71.07
462756815.2,-71.54
462765275.4,-69.97
462773735.7,-70.10
462782195.9,-88.52
462790656.2,-83.34
462799116.4,-90.54
462807576.6,-79.83
462816036.9,-77.23
462824497.1,-73.78
462832957.3,-74.07
462841417.6,-78.66
462849877.8,-76.41
462858338.1,-74.45
462866798.3,-78.88
462875258.5,-81.97
462883718.8,-87.55
462892179.0,-77.41
462900639.2,-74.82
462909099.5,-75.30
462917559.7,-76.62
462926019.9,-87.85
462934480.2,-75.32
462942940.4,-76.64
462951400.7,-80.17
462959860.9,-81.63
462968321.1,-86.88
462976781.4,-89.02
462985241.6,-89.51
462993701.8,-90.24
463002162.1,-78.71
463010622.3,-74.61
463019082.6,-75.51
463027542.8,-77.86
463036003.0,-77.69
463044463.3,-83.36
463052923.5,-88.18
463061383.7,-93.18
463069844.0,-84.32
463078304.2,-84.17
463086764.5,-76.25
463095224.7,-78.00
463103684.9,-79.81
463112145.2,-77.90
463120605.4,-77.72
463129065.6,-82.92
463137525.9,-87.06
463145986.1,-90.43
463154446.3,-99.39
463162906.6,-85.28
463171366.8,-81.23
463179827.1,-80.20
463188287.3,-80.66
463196747.5,-84.16
463205207.8,-81.29
463213668.0,-89.76
463222128.2,-85.75
463230588.5,-87.25
463239048.7,-83.64
463247509.0,-83.85
463255969.2,-87.28
463264429.4,-78.64
463272889.7,-74.56
463281349.9,-73.97
463289810.1,-79.92
463298270.4,-75.45
463306730.6,-76.85
463315190.8,-78.59
463323651.1,-83.23
463332111.3,-83.83
463340571.6,-79.37
463349031.8,-78.28
463357492.0,-83.88
463365952.3,-83.10
463374412.5,-84.84
463382872.7,-84.44
463391333.0,-82.20
463399793.2,-83.18
463408253.5,-83.35
463416713.7,-84.39
463425173.9,-85.39
463433634.2,-83.15
463442094.4,-83.34
463450554.6,-84.33
463459014.9,-82.23
463467475.1,-79.13
463475935.3,-82.45
463484395.6,-82.42
463492855.8,-84.38
463501316.1,-85.31
463509776.3,-88.52
463518236.5,-87.55
463526696.8,-85.40
463535157.0,-79.70
463543617.2,-85.91
463552077.5,-89.26
463560537.7,-80.13
463568998.0,-80.61
463577458.2,-89.82
463585918.4,-90.60
463594378.7,-87.15
463602838.9,-80.11
463611299.1,-83.93
463619759.4,-83.84
463628219.6,-83.41
463636679.8,-89.05
463645140.1,-87.47
463653600.3,-89.70
463662060.6,-89.62
463670520.8,-89.08
463678981.0,-90.26
463687441.3,-82.31
463695901.5,-81.79
463704361.7,-84.69
463712822.0,-83.61
463721282.2,-81.79
463729742.5,-82.22
463738202.7,-89.91
463746662.9,-91.33
463755123.2,-93.06
463763583.4,-92.20
463772043.6,-86.80
