Frequency (Hz),Amplitude (dBm)
462570690.0,-54.63
462579150.2,-68.20
462587610.5,-65.01
462596070.7,-69.34
462604530.9,-68.89
462612991.2,-56.11
462621451.4,-56.82
462629911.7,-57.78
462638371.9,-58.12
462646832.1,-59.84
462655292.4,-60.18
462663752.6,-75.12
462672212.8,-72.43
462680673.1,-76.10
462689133.3,-66.33
462697593.6,-64.82
462706053.8,-66.09
462714514.0,-66.34
462722974.3,-66.82
462731434.5,-68.06
462739894.7,-65.12
462748355.0,-89.49
462756815.2,-78.40
462765275.4,-86.18
462773735.7,-70.41
462782195.9,-69.86
462790656.2,-70.88
462799116.4,-71.08
462807576.6,-71.29
462816036.9,-71.27
462824497.1,-71.68
462832957.3,-75.77
462841417.6,-88.46
462849877.8,-81.44
462858338.1,-82.34
462866798.3,-75.23
462875258.5,-74.94
462883718.8,-75.25
462892179.0,-73.51
462900639.2,-73.47
462909099.5,-76.03
462917559.7,-78.71
462926019.9,-83.31
462934480.2,-83.67
462942940.4,-88.21
462951400.7,-77.41
462959860.9,-72.66
462968321.1,-84.91
462976781.4,-76.64
462985241.6,-75.17
462993701.8,-78.03
463002162.1,-78.23
463010622.3,-85.25
463019082.6,-85.24
463027542.8,-85.20
463036003.0,-80.67
463044463.3,-77.49
463052923.5,-73.27
463061383.7,-73.29
463069844.0,-75.99
463078304.2,-78.14
463086764.5,-77.44
463095224.7,-84.47
463103684.9,-89.16
463112145.2,-87.03
463120605.4,-78.41
463129065.6,-81.81
463137525.9,-73.25
463145986.1,-77.46
463154446.3,-79.24
463162906.6,-78.87
463171366.8,-78.48
463179827.1,-85.70
463188287.3,-89.79
463196747.5,-89.06
463205207.8,-85.99
463213668.0,-81.04
463222128.2,-80.90
463230588.5,-75.16
463239048.7,-74.92
463247509.0,-81.46
463255969.2,-80.19
463264429.4,-81.40
463272889.7,-81.18
463281349.9,-85.34
463289810.1,-91.09
463298270.4,-79.61
463306730.6,-78.31
463315190.8,-83.20
463323651.1,-82.78
463332111.3,-75.52
463340571.6,-76.42
463349031.8,-78.24
463357492.0,-87.17
463365952.3,-89.36
463374412.5,-87.89
463382872.7,-86.29
463391333.0,-80.31
463399793.2,-77.15
463408253.5,-74.07
463416713.7,-78.18
463425173.9,-81.68
463433634.2,-79.12
463442094.4,-80.64
463450554.6,-82.02
463459014.9,-91.23
463467475.1,-84.46
463475935.3,-77.80
463484395.6,-79.72
463492855.8,-87.80
463501316.1,-75.44
463509776.3,-74.00
463518236.5,-82.02
463526696.8,-84.08
463535157.0,-86.32
463543617.2,-87.04
463552077.5,-90.71
463560537.7,-84.83
463568998.0,-84.74
463577458.2,-80.78
463585918.4,-80.31
463594378.7,-82.91
463602838.9,-85.68
463611299.1,-86.60
463619759.4,-86.89
463628219.6,-86.75
463636679.8,-85.37
463645140.1,-82.74
463653600.3,-90.54
463662060.6,-81.48
463670520.8,-76.23
463678981.0,-74.94
463687441.3,-80.85
463695901.5,-81.68
463704361.7,-86.13
463712822.0,-84.63
463721282.2,-84.60
463729742.5,-84.38
463738202.7,-80.22
463746662.9,-77.40
463755123.2,-82.15
463763583.4,-79.72
463772043.6,-75.40
463780503.9,-75.53
463788964.1,-78.04
463797424.3,-80.77
463805884.6,-80.99
463814344.8,-80.10
463822805.1,-80.90
463831265.3,-77.36
463839725.5,-79.09
463848185.8,-77.20
463856646.0,-83.15
463865106.2,-79.59
463873566.5,-78.45
463882026.7,-81.16
463890487.0,-83.80
463898947.2,-82.23
463907407.4,-81.59
463915867.7,-81.61
463924327.9,-84.41
463932788.1,-86.11
463941248.4,-85.90
463949708.6,-79.80
463958168.8,-73.64
463966629.1,-85.86
463975089.3,-87.79
463983549.6,-84.30
463992009.8,-80.72
464000470.0,-92.37
464008930.3,-89.94
464017390.5,-79.66
464025850.7,-80.55
464034311.0,-83.18
464042771.2,-77.49
464051231.5,-81.54
464059691.7,-86.22
464068151.9,-88.27
464076612.2,-88.55
464085072.4,-83.01
464093532.6,-88.24
464101992.9,-83.31
464110453.1,-76.35
464118913.4,-76.91
464127373.6,-77.95
464135833.8,-83.98
464144294.1,-86.22
464152754.3,-85.82
464161214.5,-86.56
464169674.8,-84.39
464178135.0,-81.77
464186595.2,-83.13
464195055.5,-81.56
464203515.7,-80.83
464211976.0,-79.28
464220436.2,-76.81
464228896.4,-84.56
464237356.7,-88.15
464245816.9,-94.77
464254277.1,-88.04
464262737.4,-96.02
464271197.6,-90.96
464279657.9,-82.74
464288118.1,-81.50
464296578.3,-82.57
464305038.6,-86.05
464313498.8,-90.68
464321959.0,-86.42
464330419.3,-89.69
464338879.5,-90.54
464347339.7,-82.89
464355800.0,-80.91
464364260.2,-80.57
464372720.5,-81.84
464381180.7,-88.77
464389640.9,-86.40
464398101.2,-88.38
464406561.4,-84.41
464415021.6,-86.33
464423481.9,-87.63
464431942.1,-80.57
464440402.4,-81.57
464448862.6,-81.60
464457322.8,-83.44
464465783.1,-81.87
464474243.3,-81.72
464482703.5,-82.84
464491163.8,-84.04
464499624.0,-89.36
464508084.2,-85.96
464516544.5,-82.74
464525004.7,-78.15
464533465.0,-79.13
464541925.2,-80.10
464550385.4,-84.72
464558845.7,-85.09
464567305.9,-83.25
464575766.1,-84.29
464584226.4,-88.60
